,Photo Date,Photo ID ,Photographed By,Date Plated,Plated By,"Date of Trial
 (Monday)",Set ID,strain,Week Number,Replicate Number,# flies,Sex,"
Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (Notebook),Recorded By (Computer),total consumption (24 hours mm),total consumption (48 hours mm),Total Consumption ,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes
21,10/13/17,158 4258,,5/17/17,MA,5/15/17,,WE,7,3,,,C,10-4,35,144,179,analog,,,KV,,,,spore,vegetative,,,
23,10/13/17,158 4259,,5/17/17,MA,5/15/17,,WE,7,3,,,C,10-5,2,13,15,analog,,,KV,,,,spore,vegetative,,,
25,8/15/17,154 4010,FW,5/17/17,MA,5/15/17,,WE,7,4,,,C,10-3,57,145,202,analog,,SLD,FW,,,,spore,vegetative,,,
27,8/15/17,154 4011,FW,5/17/17,MA,5/15/17,,WE,7,4,,,C,10-4,4,17,21,analog,,SLD,FW,,,,spore,vegetative,,,
29,8/15/17,154 4012,FW,5/17/17,MA,5/15/17,,WE,7,4,,,C,10-5,0,1,1,analog,,SLD,FW,,,,spore,vegetative,,,
31,8/15/17,154 4013,FW,5/17/17,MA,5/15/17,,WE,7,5,,,C,10-3,341,866,1207,analog,,SLD,FW,,,,spore,vegetative,,,
33,8/15/17,154 4014,FW,5/17/17,MA,5/15/17,,WE,7,5,,,C,10-4,49,150,199,analog,,SLD,FW,,,,spore,vegetative,,,
35,8/15/17,154 4015,FW,5/17/17,MA,5/15/17,,WE,7,5,,,C,10-5,4,31,35,analog,,SLD,FW,,,,spore,vegetative,,,
37,8/15/17,154 4016,FW,5/17/17,MA,5/15/17,,WE,7,6,,,C,10-3,484,1007,1491,analog,,SLD,FW,,,,spore,vegetative,,,
39,8/15/17,154 4017,FW,5/17/17,MA,5/15/17,,WE,7,6,,,C,10-4,62,194,256,analog,,SLD,FW,,,,spore,vegetative,,,
41,8/15/17,154 4018,FW,5/17/17,MA,5/15/17,,WE,7,6,,,C,10-5,6,21,27,analog,,SLD,FW,,,,spore,vegetative,,,
43,7/17/17,144 3315,FW,5/17/17,MA,5/15/17,,WE,7,7,,,C,10-3,525,1100,1625,analog,UR,CK,KV,,,,spore,vegetative,,,
45,7/17/17,144 3316,FW,5/17/17,MA,5/15/17,,WE,7,7,,,C,10-4,65,142,207,analog,UR,CK,KV,,,,spore,vegetative,,,
47,7/17/17,144 3317,FW,5/17/17,MA,5/15/17,,WE,7,7,,,C,10-5,14,22,36,analog,UR,CK,KV,,,,spore,vegetative,,,
49,7/17/17,144 3318,FW,5/17/17,MA,5/15/17,,WE,7,8,,,C,10-3,503,1080,1583,analog,UR,CK,KV,,,,spore,vegetative,,,
51,7/17/17,144 3319,FW,5/17/17,MA,5/15/17,,WE,7,8,,,C,10-4,78,166,244,analog,UR,CK,KV,,,,spore,vegetative,,,
53,7/17/17,144 3320,FW,5/17/17,MA,5/15/17,,WE,7,8,,,C,10-5,3,10,13,analog,UR,CK,KV,,,,spore,vegetative,,,
55,7/17/17,144 3321,FW,5/17/17,MA,5/15/17,,WE,7,9,,,C,10-3,481,1012,1493,analog,UR,CK,KV,,,,spore,vegetative,,,
57,7/17/17,144 3322,FW,5/17/17,MA,5/15/17,,WE,7,9,,,C,10-4,66,156,222,analog,UR,CK,KV,,,,spore,vegetative,,,
59,7/17/17,144 3323,FW,5/17/17,MA,5/15/17,,WE,7,9,,,C,10-5,9,23,32,analog,UR,CK,KV,,,,spore,vegetative,,,
61,7/17/17,144 3376,FW,5/17/17,MA,5/15/17,,WE,7,10,,,C,10-3,387,876,1263,analog,,FW,FW,,,,spore,vegetative,,,
63,7/17/17,144 3377,FW,5/17/17,MA,5/15/17,,WE,7,10,,,C,10-4,56,131,187,analog,,FW,FW,,,,spore,vegetative,,,
65,7/17/17,144 3378,FW,5/17/17,MA,5/15/17,,WE,7,10,,,C,10-5,10,26,36,analog,,FW,FW,,,,spore,vegetative,,,
67,7/17/17,144 3379,FW,5/17/17,MA,5/15/17,,WE,7,11,,,C,10-3,310,888,1198,analog,,FW,FW,,,,spore,vegetative,,,
69,7/17/17,144 3380,FW,5/17/17,MA,5/15/17,,WE,7,11,,,C,10-4,38,150,188,analog,,FW,FW,,,,spore,vegetative,,,
71,7/17/17,144 3381,FW,5/17/17,MA,5/15/17,,WE,7,11,,,C,10-5,3,22,25,analog,,FW,FW,,,,spore,vegetative,,,
73,7/17/17,144 3382,FW,5/17/17,MA,5/15/17,,WE,7,12,,,C,10-3,0,0,0,analog,,FW,FW,,,,spore,vegetative,,,
75,7/17/17,144 3383,FW,5/17/17,MA,5/15/17,,WE,7,12,,,C,10-4,0,0,0,analog,,FW,FW,,,,spore,vegetative,,,
77,7/17/17,144 3384,FW,5/17/17,MA,5/15/17,,WE,7,12,,,C,10-5,0,0,0,analog,,FW,FW,,,,spore,vegetative,,,
79,7/17/17,144 3367,FW,5/17/17,MA,5/15/17,,WE,7,13,,,C,10-3,560,985,1545,analog,,CK,FW,,,,spore,vegetative,,,
81,7/17/17,144 3368,FW,5/17/17,MA,5/15/17,,WE,7,13,,,C,10-4,55,147,202,analog,,CK,FW,,,,spore,vegetative,,,
83,7/17/17,144 3369,FW,5/17/17,MA,5/15/17,,WE,7,13,,,C,10-5,10,11,21,analog,,CK,FW,,,,spore,vegetative,,,
85,7/17/17,144 3370,FW,5/17/17,MA,5/15/17,,WE,7,14,,,C,10-3,439,859,1298,analog,,CK,FW,,,,spore,vegetative,,,
87,7/17/17,144 3371,FW,5/17/17,MA,5/15/17,,WE,7,14,,,C,10-4,53,114,167,analog,,CK,FW,,,,spore,vegetative,,,
89,7/17/17,144 3372,FW,5/17/17,MA,5/15/17,,WE,7,14,,,C,10-5,4,19,23,analog,,CK,FW,,,,spore,vegetative,,,
91,7/17/17,144 3373,FW,5/17/17,MA,5/15/17,,WE,7,15,,,C,10-3,301,806,1107,analog,,CK,FW,,,,spore,vegetative,,,
93,7/17/17,144 3374,FW,5/17/17,MA,5/15/17,,WE,7,15,,,C,10-4,60,116,176,analog,,CK,FW,,,,spore,vegetative,,,
95,7/17/17,144 3375,FW,5/17/17,MA,5/15/17,,WE,7,15,,,C,10-5,10,19,29,analog,,CK,FW,,,,spore,vegetative,,,
97,7/24/17,146 3457,FW,5/17/17,HB,5/15/17,,WE,7,1,,F,T,10-2,0,16,16,analog,,SLD,,,,0.0,spore,vegetative,,,
99,7/24/17,146 3466,FW,5/17/17,HB,5/15/17,,WE,7,1,,F,T,10-3,0,3,3,analog,,SLD,,,,0.0,spore,vegetative,,,
101,7/17/17,144 3325,FW,5/17/17,HB,5/15/17,,WE,7,1,,F,T,10-4,2,3,5,analog,,SLD,,,,0.0,spore,vegetative,,,
103,7/24/17,146 3458,FW,5/17/17,HB,5/15/17,,WE,7,2,,F,T,10-2,4,22,26,analog,,SLD,,,,0.0,spore,vegetative,,,
105,7/24/17,146 3467,FW,5/17/17,HB,5/15/17,,WE,7,2,,F,T,10-3,1,0,1,analog,,SLD,,,,0.0,spore,vegetative,,,
107,7/17/17,144 3326,FW,5/17/17,HB,5/15/17,,WE,7,2,,F,T,10-4,0,0,0,analog,,SLD,,,,0.0,spore,vegetative,,,
109,7/24/17,146 3459,FW,5/17/17,HB,5/15/17,,WE,7,3,,F,T,10-2,0,25,25,analog,,SLD,,,,0.0,spore,vegetative,,,
111,7/24/17,146 3468,FW,5/17/17,HB,5/15/17,,WE,7,3,,F,T,10-3,1,5,6,analog,,SLD,,,,0.0,spore,vegetative,,,
113,7/17/17,144 3327,FW,5/17/17,HB,5/15/17,,WE,7,3,,F,T,10-4,1,1,2,analog,,SLD,,,,0.0,spore,vegetative,,,
115,7/24/17,146 3460,FW,5/17/17,HB,5/15/17,,WE,7,4,,F,T,10-2,3,9,12,analog,,SLD,,,,0.0,spore,vegetative,,,
117,7/24/17,146 3469,FW,5/17/17,HB,5/15/17,,WE,7,4,,F,T,10-3,0,1,1,analog,,SLD,,,,0.0,spore,vegetative,,,
119,7/17/17,144 3328,FW,5/17/17,HB,5/15/17,,WE,7,4,,F,T,10-4,0,1,1,analog,,SLD,,,,0.0,spore,vegetative,,,
121,7/24/17,146 3461,FW,5/17/17,HB,5/15/17,,WE,7,5,,F,T,10-2,0,18,18,analog,,SLD,,,,0.0,spore,vegetative,,,
123,7/24/17,146 3470,FW,5/17/17,HB,5/15/17,,WE,7,5,,F,T,10-3,0,2,2,analog,,SLD,,,,0.0,spore,vegetative,,,
125,7/17/17,144 3329,FW,5/17/17,HB,5/15/17,,WE,7,5,,F,T,10-4,0,0,0,analog,,SLD,,,,0.0,spore,vegetative,,,
127,7/24/17,146 3462,FW,5/17/17,HB,5/15/17,,WE,7,6,,F,T,10-2,2,10,12,analog,,SLD,,,,0.0,spore,vegetative,,,
129,7/24/17,146 3471,FW,5/17/17,HB,5/15/17,,WE,7,6,,F,T,10-3,0,1,1,analog,,SLD,,,,0.0,spore,vegetative,,,
131,7/17/17,144 3330,FW,5/17/17,HB,5/15/17,,WE,7,6,,F,T,10-4,0,0,0,analog,,SLD,,,,0.0,spore,vegetative,,,
133,7/24/17,146 3463,FW,5/17/17,HB,5/15/17,,WE,7,7,,F,T,10-2,0,17,17,analog,,SLD,,,,0.0,spore,vegetative,,,
135,7/24/17,146 3472,FW,5/17/17,HB,5/15/17,,WE,7,7,,F,T,10-3,0,10,10,analog,,SLD,,,,0.0,spore,vegetative,,,
137,7/17/17,144 3331,FW,5/17/17,HB,5/15/17,,WE,7,7,,F,T,10-4,0,0,0,analog,,SLD,,,,0.0,spore,vegetative,,,
139,7/24/17,146 3464,FW,5/17/17,HB,5/15/17,,WE,7,8,,F,T,10-2,1,5,6,analog,,SLD,,,,0.0,spore,vegetative,,,
141,7/24/17,146 3473,FW,5/17/17,HB,5/15/17,,WE,7,8,,F,T,10-3,0,0,0,analog,,SLD,,,,0.0,spore,vegetative,,,
143,7/17/17,144 3332,FW,5/17/17,HB,5/15/17,,WE,7,8,,F,T,10-4,0,0,0,analog,,SLD,,,,0.0,spore,vegetative,,,
145,7/24/17,146 3465,FW,5/17/17,HB,5/15/17,,WE,7,9,,F,T,10-2,2,47,49,analog,,SLD,,,,0.0,spore,vegetative,,,
147,7/24/17,146 3474,FW,5/17/17,HB,5/15/17,,WE,7,9,,F,T,10-3,1,5,6,analog,,SLD,,,,0.0,spore,vegetative,,,
149,7/17/17,144 3333,FW,5/17/17,HB,5/15/17,,WE,7,9,,F,T,10-4,0,0,0,analog,,SLD,,,,0.0,spore,vegetative,,,
151,10/3/17,158 4278,,5/17/17,HB,5/15/17,,WE,7,10,,F,T,10-2,0,17,17,analog,,CK,,,,0.0,spore,vegetative,,,
153,8/22/17,155 4096,FW,5/17/17,,5/15/17,,WE,7,10,,F,T,10-3,0,0,0,analog,,SLD,,,,0.0,spore,vegetative,,,
155,8/23/17,156 4165,FW,5/17/17,HB,5/15/17,,WE,7,10,,F,T,10-4,0,0,0,analog,,SLD,,,,0.0,spore,vegetative,,,
157,10/3/17,158 4279,,5/17/17,HB,5/15/17,,WE,7,11,,F,T,10-2,2,15,17,analog,,CK,,,,0.0,spore,vegetative,,,
159,8/22/17,155 4097,FW,5/17/17,EF,5/15/17,,WE,7,11,,F,T,10-3,0,2,2,analog,,SLD,,,,0.0,spore,vegetative,,,
161,8/23/17,156 4166,FW,5/17/17,HB,5/15/17,,WE,7,11,,F,T,10-4,0,8,8,analog,,SLD,,,,0.0,spore,vegetative,,,
163,10/3/17,158 4280,,5/17/17,HB,5/15/17,,WE,7,12,,F,T,10-2,0,6,6,analog,,CK,,,,0.0,spore,vegetative,,,
165,8/22/17,155 4098,FW,5/17/17,EF,5/15/17,,WE,7,12,,F,T,10-3,0,1,1,analog,,SLD,,,,0.0,spore,vegetative,,,
167,8/23/17,156 4167,FW,5/17/17,HB,5/15/17,,WE,7,12,,F,T,10-4,0,10,10,analog,,SLD,,,,0.0,spore,vegetative,,,
169,10/3/17,158 4281,,5/17/17,HB,5/15/17,,WE,7,13,,F,T,10-2,0,0,0,analog,,CK,,,,0.0,spore,vegetative,,,
171,8/22/17,155 4099,FW,5/17/17,EF,5/15/17,,WE,7,13,,F,T,10-3,0,0,0,analog,,SLD,,,,0.0,spore,vegetative,,,
173,8/23/17,156 4168,FW,5/17/17,HB,5/15/17,,WE,7,13,,F,T,10-4,0,0,0,analog,,SLD,,,,0.0,spore,vegetative,,,
175,10/3/17,158 4282,,5/17/17,HB,5/15/17,,WE,7,14,,F,T,10-2,0,0,0,analog,,CK,,,,0.0,spore,vegetative,,,
177,8/22/17,155 4100,FW,5/17/17,EF,5/15/17,,WE,7,14,,F,T,10-3,0,3,3,analog,,SLD,,,,0.0,spore,vegetative,,,
179,8/23/17,156 4169,FW,5/17/17,HB,5/15/17,,WE,7,14,,F,T,10-4,0,3,3,analog,,SLD,,,,0.0,spore,vegetative,,,
181,10/3/17,158 4283,,5/17/17,HB,5/15/17,,WE,7,15,,F,T,10-2,1,7,8,analog,,CK,,,,0.0,spore,vegetative,,,
183,8/22/17,155 4101,FW,5/17/17,EF,5/15/17,,WE,7,15,,F,T,10-3,3,33,36,analog,,SLD,,,,0.0,spore,vegetative,,,
185,8/23/17,156 4170,FW,5/17/17,HB,5/15/17,,WE,7,15,,F,T,10-4,1,3,4,analog,,SLD,,,,0.0,spore,vegetative,,,
187,10/3/17,158 4284,,5/17/17,HB,5/15/17,,WE,7,16,,F,T,10-2,2,11,13,analog,,CK,,,,0.0,spore,vegetative,,,
189,8/22/17,155 4102,FW,5/17/17,HB,5/15/17,,WE,7,16,,F,T,10-3,0,0,0,analog,,SLD,,,,0.0,spore,vegetative,,,
191,8/23/17,156 4171,FW,5/17/17,HB,5/15/17,,WE,7,16,,F,T,10-4,0,0,0,analog,,SLD,,,,0.0,spore,vegetative,,,
193,10/3/17,158 4285,,5/17/17,HB,5/15/17,,WE,7,17,,F,T,10-2,14,28,42,analog,,CK,,,,0.0,spore,vegetative,,,
195,8/22/17,155 4103,FW,5/17/17,HB,5/15/17,,WE,7,17,,F,T,10-3,0,13,13,analog,,SLD,,,,0.0,spore,vegetative,,,
197,8/23/17,156 4172,FW,5/17/17,HB,5/15/17,,WE,7,17,,F,T,10-4,0,1,1,analog,,SLD,,,,0.0,spore,vegetative,,,
199,10/3/17,158 4286,,5/17/17,HB,5/15/17,,WE,7,18,,F,T,10-2,4,6,10,analog,,CK,,,,0.0,spore,vegetative,,,
201,8/22/17,155 4104,FW,5/17/17,HB,5/15/17,,WE,7,18,,F,T,10-3,0,2,2,analog,,SLD,,,,0.0,spore,vegetative,,,
203,8/23/17,156 4173,FW,5/17/17,HB,5/15/17,,WE,7,18,,F,T,10-4,0,1,1,analog,,SLD,,,,0.0,spore,vegetative,,,
205,7/17/17,144 3343,FW,5/17/17,HB,5/15/17,,WE,7,19,,F,T,10-2,1,7,8,analog,UR,CK,,,,0.0,spore,vegetative,,,cont
207,7/17/17,144 3344,FW,5/17/17,HB,5/15/17,,WE,7,19,,F,T,10-3,2,5,7,analog,UR,CK,,,,0.0,spore,vegetative,,,cont
209,8/23/17,156 4183,FW,5/17/17,HB,5/15/17,,WE,7,19,,F,T,10-4,1,0,1,analog,,SLD,,,,0.0,spore,vegetative,,,cont
211,7/17/17,144 3345,FW,5/17/17,HB,5/15/17,,WE,7,20,,F,T,10-2,1,4,5,analog,UR,CK,,,,0.0,spore,vegetative,,,cont
213,7/17/17,144 3346,FW,5/17/17,HB,5/15/17,,WE,7,20,,F,T,10-3,0,0,0,analog,UR,CK,,,,0.0,spore,vegetative,,,cont
215,8/23/17,156 4184,FW,5/17/17,HB,5/15/17,,WE,7,20,,F,T,10-4,0,0,0,analog,,SLD,,,,0.0,spore,vegetative,,,cont
217,7/17/17,144 3347,FW,5/17/17,HB,5/15/17,,WE,7,21,,F,T,10-2,0,13,13,analog,UR,CK,,,,0.0,spore,vegetative,,,cont
219,7/17/17,144 3348,FW,5/17/17,HB,5/15/17,,WE,7,21,,F,T,10-3,0,0,0,analog,UR,CK,,,,0.0,spore,vegetative,,,cont
221,8/23/17,156 4185,FW,5/17/17,HB,5/15/17,,WE,7,21,,F,T,10-4,1,0,1,analog,,SLD,,,,0.0,spore,vegetative,,,cont
223,7/17/17,144 3352,FW,5/17/17,HB,5/15/17,,WE,7,22,,F,T,10-2,0,32,32,analog,,SLD,,,,0.0,spore,vegetative,,,
225,7/17/17,144 3349,FW,5/17/17,HB,5/15/17,,WE,7,22,,F,T,10-3,0,0,0,analog,UR,CK,,,,0.0,spore,vegetative,,,cont
227,8/23/17,156 4186,FW,5/17/17,HB,5/15/17,,WE,7,22,,F,T,10-4,0,3,3,analog,,SLD,,,,0.0,spore,vegetative,,,
229,7/17/17,144 3353,FW,5/17/17,HB,5/15/17,,WE,7,23,,F,T,10-2,0,180,180,analog,,SLD,,,,0.0,spore,vegetative,,,
231,7/17/17,144 3350,FW,5/17/17,HB,5/15/17,,WE,7,23,,F,T,10-3,0,16,16,analog,UR,CK,,,,0.0,spore,vegetative,,,
233,8/23/17,156 4187,FW,5/17/17,HB,5/15/17,,WE,7,23,,F,T,10-4,0,0,0,analog,,SLD,,,,0.0,spore,vegetative,,,
235,7/17/17,144 3354,FW,5/17/17,HB,5/15/17,,WE,7,24,,F,T,10-2,0,637,637,analog,,SLD,,,,0.0,spore,vegetative,,,
237,7/17/17,145 3351,FW,5/17/17,HB,5/15/17,,WE,7,24,,F,T,10-3,1,96,97,analog,UR,CK,,,,0.0,spore,vegetative,,,
239,8/23/17,156 4188,FW,5/17/17,HB,5/15/17,,WE,7,24,,F,T,10-4,1,12,13,analog,,SLD,,,,0.0,spore,vegetative,,,
241,7/17/17,144 3355,FW,5/17/17,HB,5/15/17,,WE,7,25,,F,T,10-2,0,575,575,analog,,SLD,,,,0.0,spore,vegetative,,,
243,8/22/17,155 4126,FW,5/17/17,HB,5/15/17,,WE,7,25,,F,T,10-3,0,74,74,analog,,CK,,,,0.0,spore,vegetative,,,
245,8/23/17,156 4189,FW,5/17/17,HB,5/15/17,,WE,7,25,,F,T,10-4,0,18,18,analog,,SLD,,,,0.0,spore,vegetative,,,
247,7/17/17,144 3356,FW,5/17/17,HB,5/15/17,,WE,7,26,,F,T,10-2,2,137,139,analog,,SLD,,,,0.0,spore,vegetative,,,
249,8/22/17,155 4127,FW,5/17/17,HB,5/15/17,,WE,7,26,,F,T,10-3,2,17,19,analog,,CK,,,,0.0,spore,vegetative,,,
251,8/23/17,156 4190,FW,5/17/17,HB,5/15/17,,WE,7,26,,F,T,10-4,0,1,1,analog,,SLD,,,,0.0,spore,vegetative,,,
253,7/17/17,144 3357,FW,5/17/17,HB,5/15/17,,WE,7,27,,F,T,10-2,13,100,113,analog,,SLD,,,,0.0,spore,vegetative,,,
255,8/22/17,155 4128,FW,5/17/17,HB,5/15/17,,WE,7,27,,F,T,10-3,0,20,20,analog,,CK,,,,0.0,spore,vegetative,,,
257,8/23/17,156 4191,FW,5/17/17,HB,5/15/17,,WE,7,27,,F,T,10-4,0,0,0,analog,,SLD,,,,0.0,spore,vegetative,,,
259,8/22/17,155 4132,FW,5/17/17,HB,5/15/17,,WE,7,28,,F,T,10-2,20,554,574,analog,,CK,,,,0.0,spore,vegetative,,,
261,8/22/17,155 4129,FW,5/17/17,HB,5/15/17,,WE,7,28,,F,T,10-3,0,51,51,analog,,CK,,,,0.0,spore,vegetative,,,
263,8/22/17,155 4133,FW,5/17/17,HB,5/15/17,,WE,7,28,,F,T,10-4,0,17,17,analog,,CK,,,,0.0,spore,vegetative,,,
265,8/22/17,155 4134,FW,5/17/17,HB,5/15/17,,WE,7,29,,F,T,10-2,5,97,102,analog,,CK,,,,0.0,spore,vegetative,,,
267,8/22/17,155 4130,FW,5/17/17,HB,5/15/17,,WE,7,29,,F,T,10-3,0,24,24,analog,,CK,,,,0.0,spore,vegetative,,,
269,8/22/17,155 4135,FW,5/17/17,HB,5/15/17,,WE,7,29,,F,T,10-4,0,1,1,analog,,CK,,,,0.0,spore,vegetative,,,
271,8/22/17,155 4136,FW,5/17/17,HB,5/15/17,,WE,7,30,,F,T,10-2,0,10,10,analog,,CK,,,,0.0,spore,vegetative,,,
273,8/22/17,155 4131,FW,5/17/17,HB,5/15/17,,WE,7,30,,F,T,10-3,0,0,0,analog,,CK,,,,0.0,spore,vegetative,,,
275,8/22/17,155 4137,FW,5/17/17,HB,5/15/17,,WE,7,30,,F,T,10-4,0,0,0,analog,,CK,,,,0.0,spore,vegetative,,,
277,8/23/17,156 4147,FW,5/17/17,UR,5/15/17,,WE,7,1,,M,T,10-2,6,83,89,analog,,SLD,,,,0.0,spore,vegetative,,,
279,8/23/17,156 4148,FW,5/17/17,UR,5/15/17,,WE,7,1,,M,T,10-3,3,8,11,analog,,SLD,,,,0.0,spore,vegetative,,,
281,8/23/17,156 4149,FW,5/17/17,UR,5/15/17,,WE,7,1,,M,T,10-4,1,0,1,analog,,SLD,,,,0.0,spore,vegetative,,,
283,8/23/17,156 4150 ,FW,5/17/17,UR,5/15/17,,WE,7,2,,M,T,10-2,0,0,0,analog,,SLD,,,,0.0,spore,vegetative,,,
285,8/23/17,156 4151,FW,5/17/17,UR,5/15/17,,WE,7,2,,M,T,10-3,0,7,7,analog,,SLD,,,,0.0,spore,vegetative,,,
287,8/23/17,156 4152,FW,5/17/17,UR,5/15/17,,WE,7,2,,M,T,10-4,0,2,2,analog,,SLD,,,,0.0,spore,vegetative,,,
289,8/23/17,156 4153,FW,5/17/17,UR,5/15/17,,WE,7,3,,M,T,10-2,6,133,139,analog,,SLD,,,,0.0,spore,vegetative,,,
291,8/23/17,156 4154,FW,5/17/17,UR,5/15/17,,WE,7,3,,M,T,10-3,1,21,22,analog,,SLD,,,,0.0,spore,vegetative,,,
293,8/23/17,156 4155,FW,5/17/17,UR,5/15/17,,WE,7,3,,M,T,10-4,0,2,2,analog,,SLD,,,,0.0,spore,vegetative,,,
295,8/22/17,155 4141,,5/17/17,UR,5/15/17,,WE,7,4,,M,T,10-2,3,123,126,analog,,SLD,,,,0.0,spore,vegetative,,,
297,8/22/17,155 4142,,5/17/17,UR,5/15/17,,WE,7,4,,M,T,10-3,0,14,14,analog,,SLD,,,,0.0,spore,vegetative,,,
299,8/22/17,155 4143,,5/17/17,UR,5/15/17,,WE,7,4,,M,T,10-4,0,2,2,analog,,SLD,,,,0.0,spore,vegetative,,,
301,8/22/17,155 4144,,5/17/17,UR,5/15/17,,WE,7,5,,M,T,10-2,1,224,225,analog,,SLD,,,,0.0,spore,vegetative,,,
303,8/22/17,155 4145,,5/17/17,UR,5/15/17,,WE,7,5,,M,T,10-3,0,27,27,analog,,SLD,,,,0.0,spore,vegetative,,,
305,8/22/17,155 4146,,5/17/17,UR,5/15/17,,WE,7,5,,M,T,10-4,0,5,5,analog,,SLD,,,,0.0,spore,vegetative,,,
307,8/22/17,155 4138,,5/17/17,UR,5/15/17,,WE,7,6,,M,T,10-2,3,36,39,analog,,SLD,,,,0.0,spore,vegetative,,,
309,8/22/17,155 4139,,5/17/17,UR,5/15/17,,WE,7,6,,M,T,10-3,0,5,5,analog,,SLD,,,,0.0,spore,vegetative,,,
311,8/22/17,155 4140,,5/17/17,UR,5/15/17,,WE,7,6,,M,T,10-4,0,1,1,analog,,SLD,,,,0.0,spore,vegetative,,,
313,7/24/17,146 3475,FW,5/17/17,UR,5/15/17,,WE,7,7,,M,T,10-2,8,46,54,analog,,SLD,,,,0.0,spore,vegetative,,,
315,7/24/17,146 3476,FW,5/17/17,UR,5/15/17,,WE,7,7,,M,T,10-3,3,5,8,analog,,SLD,,,,0.0,spore,vegetative,,,
317,7/24/17,146 3477,FW,5/17/17,UR,5/15/17,,WE,7,7,,M,T,10-4,0,0,0,analog,,SLD,,,,0.0,spore,vegetative,,,
319,7/24/17,146 3478,FW,5/17/17,UR,5/15/17,,WE,7,8,,M,T,10-2,12,111,123,analog,,SLD,,,,0.0,spore,vegetative,,,
321,7/24/17,146 3479,FW,5/17/17,UR,5/15/17,,WE,7,8,,M,T,10-3,5,16,21,analog,,SLD,,,,0.0,spore,vegetative,,,
323,7/24/17,146 3480,FW,5/17/17,UR,5/15/17,,WE,7,8,,M,T,10-4,0,0,0,analog,,SLD,,,,0.0,spore,vegetative,,,
325,7/24/17,146 3481,FW,5/17/17,UR,5/15/17,,WE,7,9,,M,T,10-2,2,144,146,analog,,SLD,,,,0.0,spore,vegetative,,,
327,7/24/17,146 3482,FW,5/17/17,UR,5/15/17,,WE,7,9,,M,T,10-3,4,26,30,analog,,SLD,,,,0.0,spore,vegetative,,,
329,7/24/17,146 3483,FW,5/17/17,UR,5/15/17,,WE,7,9,,M,T,10-4,0,1,1,analog,,SLD,,,,0.0,spore,vegetative,,,
331,7/17/17,144 3334,FW,5/17/17,UR,5/15/17,,WE,7,10,,M,T,10-2,15,57,72,analog,,SLD,,,,0.0,spore,vegetative,,,
333,7/17/17,144 3335,FW,5/17/17,UR,5/15/17,,WE,7,10,,M,T,10-3,3,21,24,analog,,SLD,,,,0.0,spore,vegetative,,,
335,7/17/17,144 3336,FW,5/17/17,UR,5/15/17,,WE,7,10,,M,T,10-4,0,2,2,analog,,SLD,,,,0.0,spore,vegetative,,,
337,7/17/17,144 3337,FW,5/17/17,UR,5/15/17,,WE,7,11,,M,T,10-2,13,217,230,analog,,SLD,,,,0.0,spore,vegetative,,,
339,7/17/17,144 3338,FW,5/17/17,UR,5/15/17,,WE,7,11,,M,T,10-3,3,27,30,analog,,SLD,,,,0.0,spore,vegetative,,,
