,Photo Date ,Photo ID ,Photographed By,Date Plated,Plated By,"Date of Trial
",Set ID,Strain,Plate ID,strain,Week Number,Replicate Number,# flies,Sex,"
Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (Notebook),Recorded By (Computer),"total consumption (mm, 24 hrs)","total consumption (mm, 48 hrs)",Total Consumption,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes
1,4/17/17,112 0732,,4/14/17,,4/10/17,,WA,,,2,1,,F,GOT ,10-5,102,NC,#VALUE!,analog,,KMM,,,,,spore,vegetative,,,contaminated
3,4/17/17,112 0733,,4/14/17,,4/10/17,,WA,,,2,1,,F,GOT ,10-4,576*,0,#VALUE!,analog,,KMM,,,,,spore,vegetative,,,*contaminated
5,4/17/17,112 0736,,4/14/17,,4/10/17,,WA,,,2,1,,F,GOT ,10-3,NC,NC,#VALUE!,analog,,KMM,,,,,spore,vegetative,,,contaminated
7,4/17/17,112 0742,,4/14/17,,4/10/17,,WA,,,2,2,,F,GOT ,10-5,0,NC,#VALUE!,analog,,KMM,,,,,spore,vegetative,,,contaminated
9,4/17/17,112 0744,,4/14/17,,4/10/17,,WA,,,2,2,,F,GOT ,10-4,NC,NC,#VALUE!,analog,,KMM,,,,,spore,vegetative,,,contaminated
11,5/24/17,129 2242,,4/14/17,,4/10/17,,WA,,,2,2,,F,GOT ,10-3,80,0,80,analog,,KMM,,,,,spore,vegetative,,,contaminated
13,4/17/17,112 0768,,4/14/17,,4/10/17,,WA,,,2,3,,F,GOT ,10-5,62,NC,#VALUE!,analog,,KMM,,,,,spore,vegetative,,,contaminated
15,5/24/17,129 2244,,4/14/17,,4/10/17,,WA,,,2,3,,F,GOT ,10-4,0,0,0,analog,,KMM,,,,,spore,vegetative,,,contaminated
17,5/24/17,129 2248,,4/14/17,,4/10/17,,WA,,,2,3,,F,GOT ,10-3,1,0,1,analog,,KMM,,,,,spore,vegetative,,,contaminated
19,5/24/17,129 2247,,,,4/10/17,,WA,,,2,4,,F,GOT ,10-3,0,0,0,analog,,KMM,,,,,spore,vegetative,,,contaminated
21,5/24/17,129 2250,,,,4/10/17,,WA,,,2,4,,F,GOT ,10-4,0,0,0,analog,,KMM,,,,,spore,vegetative,,,contaminated
23,4/17/17,112 0780,,4/14/17,,4/10/17,,WA,,,2,4,,F,GOT ,10-5,5,NC,#VALUE!,analog,,KMM,,,,,spore,vegetative,,,contaminated
25,4/17/17,112 0790,,4/14/17,,4/10/17,,WA,,,2,5,,F,GOT ,10-5,429,NC,#VALUE!,analog,,KMM,,,,,spore,vegetative,,,contaminated
27,4/17/17,112 0791,,4/14/17,,4/10/17,,WA,,,2,5,,F,GOT ,10-4,362,NC,#VALUE!,analog,,KMM,,,,,spore,vegetative,,,contaminated
29,4/17/17,112 0792 ,,4/14/17,,4/10/17,,WA,,,2,5,,F,GOT ,10-3,845,0,845,analog,,KMM,,,,,spore,vegetative,,,contaminated
31,4/17/17,112 0793,,4/14/17,,4/10/17,,WA,,,2,6,,F,GOT ,10-5,250,NC,#VALUE!,analog,,KMM,,,,,spore,vegetative,,,contaminated
33,4/17/17,112 0794,,4/14/17,,4/10/17,,WA,,,2,6,,F,GOT ,10-4,NC,NC,#VALUE!,analog,,KMM,,,,,spore,vegetative,,,contaminated
35,5/24/17,129 2252,,4/14/17,,4/10/17,,WA,,,2,6,,F,GOT ,10-3,3,0,3,analog,,KMM,,,,,spore,vegetative,,,contaminated
37,5/24/17,129 2255,,4/14/17,,4/10/17,,WA,,,2,7,,F,GOT ,10-5,0,0,0,analog,BH,KMM,,,,,spore,vegetative,,,contaminated
39,5/24/17,129 2254,,4/14/17,,4/10/17,,WA,,,2,7,,F,GOT ,10-4,0,0,0,analog,BH,KMM,,,,,spore,vegetative,,,contaminated
41,5/24/17,129 2253,,4/14/17,,4/10/17,,WA,,,2,7,,F,GOT ,10-3,0,0,0,analog,BH,KMM,,,,,spore,vegetative,,,contaminated
43,5/24/17,129 2260,,4/14/17,,4/10/17,,WA,,,2,8,,F,GOT ,10-5,90,0,90,analog,BH,KMM,,,,,spore,vegetative,,,contaminated
45,5/24/17,129 2258,,4/14/17,,4/10/17,,WA,,,2,8,,F,GOT ,10-4,0,0,0,analog,BH,KMM,,,,,spore,vegetative,,,contaminated
47,5/24/17,129 2257,,4/14/17,,4/10/17,,WA,,,2,8,,F,GOT ,10-3,0,0,0,analog,BH,KMM,,,,,spore,vegetative,,,contaminated
49,5/24/17,129 2264,,4/14/17,,4/10/17,,WA,,,2,9,,F,GOT ,10-5,0,0,0,analog,BH,KMM,,,,,spore,vegetative,,,
51,5/24/17,129 2263,,4/14/17,,4/10/17,,WA,,,2,9,,F,GOT ,10-4,0,0,0,analog,BH,KMM,,,,,spore,vegetative,,,
53,5/24/17,129 2261,,4/14/17,,4/10/17,,WA,,,2,9,,F,GOT ,10-3,0,0,0,analog,BH,KMM,,,,,spore,vegetative,,,
55,5/24/17,129 2268,,4/14/17,,4/10/17,,WA,,,2,10,,F,GOT ,10-5,284,35,319,analog,"""?""",KMM,,,,,spore,vegetative,,,
57,5/24/17,129 2267,,4/14/17,,4/10/17,,WA,,,2,10,,F,GOT ,10-4,782,145,927,analog,"""?""",KMM,,,,,spore,vegetative,,,
59,5/24/17,129 2265,,4/14/17,,4/10/17,,WA,,,2,10,,F,GOT ,10-3,53,4,57,analog,"""?""",KMM,,,,,spore,vegetative,,,
61,5/24/17,129 2271,,4/14/17,,4/10/17,,WA,,,2,11,,F,GOT ,10-5,906,0,906,analog,"""?""",KMM,,,,,spore,vegetative,,,
63,5/24/17,129 2270,,4/14/17,,4/10/17,,WA,,,2,11,,F,GOT ,10-4,NC,0,#VALUE!,analog,"""?""",KMM,,,,,spore,vegetative,,,
65,5/24/17,129 2269,,4/14/17,,4/10/17,,WA,,,2,11,,F,GOT ,10-3,465,8,473,analog,"""?""",KMM,,,,,spore,vegetative,,,
67,5/24/17,129 2274,,4/14/17,,4/10/17,,WA,,,2,12,,F,GOT ,10-5,139,0,139,analog,"""?""",KMM,,,,,spore,vegetative,,,
69,5/24/17,129 2273,,4/14/17,,4/10/17,,WA,,,2,12,,F,GOT ,10-4,1135,12,1147,analog,"""?""",KMM,,,,,spore,vegetative,,,
71,5/24/17,129 2272,,4/14/17,,4/10/17,,WA,,,2,12,,F,GOT ,10-3,216,1,217,analog,"""?""",KMM,,,,,spore,vegetative,,,
73,,,,4/14/17,,,,WA,,,2,13,,F,GOT ,10-5,2,0,2,analog,EF,KMM,,,,,spore,vegetative,,,
75,,,,4/14/17,,,,WA,,,2,13,,F,GOT ,10-4,400,0,400,analog,EF,KMM,,,,,spore,vegetative,,,
77,,,,4/14/17,,,,WA,,,2,13,,F,GOT ,10-3,125,0,125,analog,EF,KMM,,,,,spore,vegetative,,,
79,5/11/17,122 1692,,4/14/17,CHK,4/14/17,,WA,,,2,14,,F,GOT ,10-5,361,9,370,analog,,HB,,,,,spore,vegetative,,,
81,5/11/17,122 1691,,4/14/17,CHK,4/14/17,,WA,,,2,14,,F,GOT ,10-4,52,4,56,analog,,HB,,,,,spore,vegetative,,,
83,5/11/17,122 1690,,4/14/17,CHK,4/14/17,,WA,,,2,14,,F,GOT ,10-3,1,0,1,analog,CHK,HB,,,,,spore,vegetative,,,
85,5/11/17,122 1696,,4/14/17,CHK,4/14/17,,WA,,,2,15,,F,GOT ,10-5,285,8,293,analog,,HB,,,,,spore,vegetative,,,
87,5/11/17,122 1695,,4/14/17,CHK,4/14/17,,WA,,,2,15,,F,GOT ,10-4,2326,13,2339,analog,,HB,,,,,spore,vegetative,,,
89,5/11/17,122 1694,,4/14/17,CHK,4/14/17,,WA,,,2,15,,F,GOT ,10-3,260,0,260,analog,KN,HB,,,,,spore,vegetative,,,contaminated
91,5/11/17,122 1701,,4/14/17,CHK,4/14/17,,WA,,,2,16,,F,GOT ,10-5,310,20,330,analog,,HB,,,,,spore,vegetative,,,
93,5/11/17,122 1700,,4/14/17,CHK,4/14/17,,WA,,,2,16,,F,GOT ,10-4,23,2,25,analog,,HB,,,,,spore,vegetative,,,
95,5/11/17,122 1699,,4/14/17,CHK,4/14/17,,WA,,,2,16,,F,GOT ,10-3,2,0,2,analog,CHK,HB,,,,,spore,vegetative,,,
97,5/19/17,126 2007,,4/14/17,CHK,4/14/17,,WA,,,2,17,,F,GOT ,10-5,0,0,0,analog,,HB,,,,,spore,vegetative,,,
99,5/19/17,126 2006,,4/14/17,CHK,4/14/17,,WA,,,2,17,,F,GOT ,10-4,159,14,173,analog,,HB,,,,,spore,vegetative,,,
101,5/19/17,126 2005,,4/14/17,CHK,4/14/17,,WA,,,2,17,,F,GOT ,10-3,19,1,20,analog,,HB,,,,,spore,vegetative,,,
103,5/19/17,126 2010,,4/14/17,CHK,4/14/17,,WA,,,2,18,,F,GOT ,10-5,303,3,306,analog,,HB,,,,,spore,vegetative,,,
105,5/19/17,126 2009,,4/14/17,CHK,4/14/17,,WA,,,2,18,,F,GOT ,10-4,80,1,81,analog,,HB,,,,,spore,vegetative,,,
107,5/19/17,126 2008,,4/14/17,CHK,4/14/17,,WA,,,2,18,,F,GOT ,10-3,1,0,1,analog,,HB,,,,,spore,vegetative,,,
109,5/19/17,126 2013,,4/14/17,CHK,4/14/17,,WA,,,2,19,,F,GOT ,10-5,195,0,195,analog,,HB,,,,,spore,vegetative,,,
111,5/19/17,126 2012,,4/14/17,CHK,4/14/17,,WA,,,2,19,,F,GOT ,10-4,412,0,412,analog,,HB,,,,,spore,vegetative,,,
113,5/19/17,126 2011,,4/14/17,CHK,4/14/17,,WA,,,2,19,,F,GOT ,10-3,9,0,9,analog,,HB,,,,,spore,vegetative,,,
115,5/24/17,129 2277,,4/14/17,,4/14/17,,WA,,,2,20,,F,GOT ,10-5,176,0,176,analog,TY,AZD,,,,,spore,vegetative,,,
117,5/24/17,129 2276,,4/14/17,,4/14/17,,WA,,,2,20,,F,GOT ,10-4,737,0,737,analog,TY,AZD,,,,,spore,vegetative,,,
119,5/24/17,129 2275,,4/14/17,,4/14/17,,WA,,,2,20,,F,GOT ,10-3,18,0,18,analog,TY,AZD,,,,,spore,vegetative,,,
121,5/24/17,129 2280,,4/14/17,,4/14/17,,WA,,,2,21,,F,GOT ,10-5,94,0,94,analog,BH,AZD,,,,,spore,vegetative,,,
123,5/24/17,129 2279,,4/14/17,,4/14/17,,WA,,,2,21,,F,GOT ,10-4,674,4,678,analog,BH,AZD,,,,,spore,vegetative,,,
125,5/24/17,129 2278,,4/14/17,,4/14/17,,WA,,,2,21,,F,GOT ,10-3,0,0,0,analog,EF,HB,,,,,spore,vegetative,,,
127,5/24/17,129 2284,,4/14/17,,4/14/17,,WA,,,2,22,,F,GOT ,10-5,253,1,254,analog,BH,AZD,,,,,spore,vegetative,,,
129,5/24/17,129 2283,,4/14/17,,4/14/17,,WA,,,2,22,,F,GOT ,10-4,1034,3,1037,analog,BH,AZD,,,,,spore,vegetative,,,
131,5/24/17,129 2281,,4/14/17,,4/14/17,,WA,,,2,22,,F,GOT ,10-3,89,0,89,analog,BH,AZD,,,,,spore,vegetative,,,
133,5/12/17,122 1716,,4/14/17,CHK,4/14/17,,WA,,,2,23,,F,GOT ,10-5,NC,NC,#VALUE!,analog,MIFFY,HB,,,,,spore,vegetative,,,
135,5/12/17,122 1715,,4/14/17,CHK,4/14/17,,WA,,,2,23,,F,GOT ,10-4,NC,NC,#VALUE!,analog,MIFFY,HB,contaminated,,,,spore,vegetative,,,
137,5/12/17,122 1714,,4/14/17,CHK,4/14/17,,WA,,,2,23,,F,GOT ,10-3,NC,NC,#VALUE!,analog,MIFFY,HB,contaminated,,,,spore,vegetative,,,
139,5/12/17,122 1719,,4/14/17,CHK,4/14/17,,WA,,,2,24,,F,GOT ,10-5,NC,NC,#VALUE!,analog,MIFFY,HB,,,,,spore,vegetative,,,
141,5/12/17,122 1718,,4/14/17,CHK,4/14/17,,WA,,,2,24,,F,GOT ,10-4,NC,NC,#VALUE!,analog,MIFFY,HB,,,,,spore,vegetative,,,
143,5/12/17,122 1717,,4/14/17,CHK,4/14/17,,WA,,,2,24,,F,GOT ,10-3,NC,NC,#VALUE!,analog,MIFFY,HB,,,,,spore,vegetative,,,
145,5/12/17,122 1722,,4/14/17,CHK,4/14/17,,WA,,,2,25,,F,GOT ,10-5,NC,NC,#VALUE!,analog,MIFFY,HB,,,,,spore,vegetative,,,
147,5/12/17,122 1721,,4/14/17,CHK,4/14/17,,WA,,,2,25,,F,GOT ,10-4,NC,NC,#VALUE!,analog,MIFFY,HB,,,,,spore,vegetative,,,
149,5/12/17,122 1720,,4/14/17,CHK,4/14/17,,WA,,,2,25,,F,GOT ,10-3,NC,NC,#VALUE!,analog,MIFFY,HB,,,,,spore,vegetative,,,
151,5/5/17,120 1520,,4/14/17,,4/14/17,,WA,,,2,26,,F,GOT ,10-5,nan,nan,0,analog,,,,,,,spore,vegetative,,,
153,5/5/17,120 1519,,4/14/17,,4/14/17,,WA,,,2,26,,F,GOT ,10-4,nan,nan,0,analog,,,,,,,spore,vegetative,,,
155,5/5/17,120 1518,,4/14/17,,4/14/17,,WA,,,2,26,,F,GOT ,10-3,71,0,71,analog,AZD,HB,,,,,spore,vegetative,,,contaminated
157,5/5/17,120 1523,,4/14/17,,4/14/17,,WA,,,2,27,,F,GOT ,10-5,NC,NC,#VALUE!,analog,"""?""",KMM,,,,,spore,vegetative,,,contaminated
159,5/5/17,120 1522,,4/14/17,,4/14/17,,WA,,,2,27,,F,GOT ,10-4,NC,NC,#VALUE!,analog,"""?""",KMM,,,,,spore,vegetative,,,contaminated
161,5/5/17,120 1521,,4/14/17,,4/14/17,,WA,,,2,27,,F,GOT ,10-3,15,0,15,analog,AZD,HB,,,,,spore,vegetative,,,contaminated
163,5/5/17,120 1526,,4/14/17,,4/14/17,,WA,,,2,28,,F,GOT ,10-5,11,0,11,analog,AZD,HB,,,,,spore,vegetative,,,
165,5/5/17,120 1525,,4/14/17,,4/14/17,,WA,,,2,28,,F,GOT ,10-4,62,0,62,analog,AZD,HB,,,,,spore,vegetative,,,
167,5/5/17,120 1524,,4/14/17,,4/14/17,,WA,,,2,28,,F,GOT ,10-3,31,0,31,analog,AZD,HB,,,,,spore,vegetative,,,
169,,,,4/14/17,,4/14/17,,WA,,,2,29,,F,GOT ,10-5,NC,NC,#VALUE!,analog,EF,KMM,,,,,spore,vegetative,,,contaminated
171,,,,4/14/17,,4/14/17,,WA,,,2,29,,F,GOT ,10-4,NC,NC,#VALUE!,analog,EF,KMM,,,,,spore,vegetative,,,contaminated
173,,,,4/14/17,,4/14/17,,WA,,,2,29,,F,GOT ,10-3,NC,NC,#VALUE!,analog,EF,KMM,,,,,spore,vegetative,,,contaminated
175,,,,4/14/17,,4/14/17,,WA,,,2,30,,F,GOT ,10-5,NC,NC,#VALUE!,analog,EF,KMM,,,,,spore,vegetative,,,contaminated
177,,,,4/14/17,,4/14/17,,WA,,,2,30,,F,GOT ,10-4,NC,NC,#VALUE!,analog,EF,KMM,,,,,spore,vegetative,,,contaminated
179,,,,4/14/17,,4/14/17,,WA,,,2,30,,F,GOT ,10-3,NC,NC,#VALUE!,analog,EF,KMM,,,,,spore,vegetative,,,contaminated
181,5/24/17,129 2287,,4/14/17,,4/14/17,,WA,,,2,1,,M,GOT ,10-5,0,0,0,analog,"""?""",KMM,,,,,spore,vegetative,,,
183,5/24/17,129 2286,,4/14/17,,4/14/17,,WA,,,2,1,,M,GOT ,10-4,43,1,44,analog,"""?""",KMM,,,,,spore,vegetative,,,
185,5/24/17,129 2285,,4/14/17,,4/14/17,,WA,,,2,1,,M,GOT ,10-3,21,0,21,analog,EF,KMM,,,,,spore,vegetative,,,
187,5/24/17,129 2290,,4/14/17,,4/14/17,,WA,,,2,2,,M,GOT ,10-5,0,0,0,analog,,KMM,,,,,spore,vegetative,,,
189,5/24/17,129 2289,,4/14/17,,4/14/17,,WA,,,2,2,,M,GOT ,10-4,70,0,70,analog,,KMM,,,,,spore,vegetative,,,
191,5/24/17,129 2288,,4/14/17,,4/14/17,,WA,,,2,2,,M,GOT ,10-3,852,0,852,analog,,KMM,,,,,spore,vegetative,,,
193,,,,4/14/17,,4/14/17,,WA,,,2,3,,M,GOT ,10-5,1,0,1,analog,,KMM,,,,,spore,vegetative,,,
195,,,,4/14/17,,4/14/17,,WA,,,2,3,,M,GOT ,10-4,55,4,59,analog,,KMM,,,,,spore,vegetative,,,
197,,,,4/14/17,,4/14/17,,WA,,,2,3,,M,GOT ,10-3,693,26,719,analog,,KMM,,,,,spore,vegetative,,,
199,5/24/17,129 2293,,4/14/17,,4/14/17,,WA,,,2,4,,M,GOT ,10-5,0,0,0,analog,"""-""",KMM,,,,,spore,vegetative,,,
201,5/24/17,129 2292,,4/14/17,,4/14/17,,WA,,,2,4,,M,GOT ,10-4,0,0,0,analog,"""-""",KMM,,,,,spore,vegetative,,,contaminated
203,5/24/17,129 2291,,4/14/17,,4/14/17,,WA,,,2,4,,M,GOT ,10-3,NC,NC,#VALUE!,analog,,KMM,,,,,spore,vegetative,,,contaminated
205,,,,4/14/17,,4/14/17,,WA,,,2,5,,M,GOT ,10-5,0,0,0,analog,KM,KMM,,,,,spore,vegetative,,,
207,,,,4/14/17,,4/14/17,,WA,,,2,5,,M,GOT ,10-4,18,0,18,analog,KM,KMM,,,,,spore,vegetative,,,
209,,,,4/14/17,,4/14/17,,WA,,,2,5,,M,GOT ,10-3,444,2,446,analog,DC,KMM,,,,,spore,vegetative,,,
211,,,,4/14/17,,4/14/17,,WA,,,2,6,,M,GOT ,10-5,0,0,0,analog,,KMM,,,,,spore,vegetative,,,
213,,,,4/14/17,,4/14/17,,WA,,,2,6,,M,GOT ,10-4,0,0,0,analog,,KMM,,,,,spore,vegetative,,,
215,,,,4/14/17,,4/14/17,,WA,,,2,6,,M,GOT ,10-3,NC,NC,#VALUE!,analog,,KMM,,,,,spore,vegetative,,,
217,5/24/17,129 2296,,4/14/17,,4/14/17,,WA,,,2,7,,M,GOT ,10-5,0,0,0,analog,BH,KMM,,,,,spore,vegetative,,,
219,5/24/17,122 2295,,4/14/17,,4/14/17,,WA,,,2,7,,M,GOT ,10-4,0,0,0,analog,BH,KMM,,,,,spore,vegetative,,,
221,5/24/17,129 2294,,4/14/17,,4/14/17,,WA,,,2,7,,M,GOT ,10-3,0,55,55,analog,BH,KMM,,,,,spore,vegetative,,,
223,5/24/17,129 2299,,4/14/17,,4/14/17,,WA,,,2,8,,M,GOT ,10-5,0,0,0,analog,BH,KMM,,,,,spore,vegetative,,,
225,5/24/17,129 2298,,4/14/17,,4/14/17,,WA,,,2,8,,M,GOT ,10-4,15,0,15,analog,BH,KMM,,,,,spore,vegetative,,,
227,5/24/17,129 2297,,4/14/17,,4/14/17,,WA,,,2,8,,M,GOT ,10-3,31,0,31,analog,BH,KMM,,,,,spore,vegetative,,,
229,5/24/17,129 2302,,4/14/17,,4/14/17,,WA,,,2,9,,M,GOT ,10-5,0,0,0,analog,BH,KMM,,,,,spore,vegetative,,,
231,5/24/17,129 2301,,4/14/17,,4/14/17,,WA,,,2,9,,M,GOT ,10-4,117,5,122,analog,BH,KMM,,,,,spore,vegetative,,,
233,5/24/17,129 2300,,4/14/17,,4/14/17,,WA,,,2,9,,M,GOT ,10-3,994,12,1006,analog,BH,KMM,,,,,spore,vegetative,,,
235,5/24/17,129 2303,,4/14/17,,4/14/17,,WA,,,2,10,,M,GOT ,10-5,3,1,4,analog,EF,KMM,,,,,spore,vegetative,,,
237,5/24/17,129 2302,,4/14/17,,4/14/17,,WA,,,2,10,,M,GOT ,10-4,107,5,112,analog,EF,KMM,,,,,spore,vegetative,,,
239,5/24/17,129 2301,,4/14/17,,4/14/17,,WA,,,2,10,,M,GOT ,10-3,670,40,710,analog,EF,KMM,,,,,spore,vegetative,,,
241,5/24/17,129 2308,,4/14/17,,4/14/17,,WA,,,2,11,,M,GOT ,10-5,0,0,0,analog,EF,KMM,,,,,spore,vegetative,,,
243,5/24/17,129 2307,,4/14/17,,4/14/17,,WA,,,2,11,,M,GOT ,10-4,134,0,134,analog,EF,KMM,,,,,spore,vegetative,,,
245,5/24/17,129 2306,,4/14/17,,4/14/17,,WA,,,2,11,,M,GOT ,10-3,61,0,61,analog,EF,KMM,,,,,spore,vegetative,,,
247,5/24/17,129 2311,,4/14/17,,4/14/17,,WA,,,2,12,,M,GOT ,10-5,0,0,0,analog,EF,KMM,,,,,spore,vegetative,,,
249,5/24/17,129 2310,,4/14/17,,4/14/17,,WA,,,2,12,,M,GOT ,10-4,0,0,0,analog,EF,KMM,,,,,spore,vegetative,,,
251,5/24/17,129 2309,,4/14/17,,4/14/17,,WA,,,2,12,,M,GOT ,10-3,87,0,87,analog,EF,KMM,,,,,spore,vegetative,,,
253,5/24/17,129 2314,,4/14/17,,4/14/17,,WA,,,2,13,,M,GOT ,10-5,0,0,0,analog,"""?""",KMM,,,,,spore,vegetative,,,
255,5/24/17,129 2313 ,,4/14/17,,4/14/17,,WA,,,2,13,,M,GOT ,10-4,25,0,25,analog,"""?""",KMM,,,,,spore,vegetative,,,
257,5/24/17,129 2312,,4/14/17,,4/14/17,,WA,,,2,13,,M,GOT ,10-3,405,15,420,analog,"""?""",KMM,,,,,spore,vegetative,,,
259,5/24/17,129 2317,,4/14/17,,4/14/17,,WA,,,2,14,,M,GOT ,10-5,0,0,0,analog,"""?""",KMM,,,,,spore,vegetative,,,
261,5/24/17,129 2316,,4/14/17,,4/14/17,,WA,,,2,14,,M,GOT ,10-4,141,0,141,analog,"""?""",KMM,,,,,spore,vegetative,,,
263,5/24/17,129 2315,,4/14/17,,4/14/17,,WA,,,2,14,,M,GOT ,10-3,59,0,59,analog,"""?""",KMM,,,,,spore,vegetative,,,
265,5/24/17,129 2320,,4/14/17,,4/14/17,,WA,,,2,15,,M,GOT ,10-5,2,2,4,analog,"""?""",KMM,,,,,spore,vegetative,,,
267,5/24/17,129 2319,,4/14/17,,4/14/17,,WA,,,2,15,,M,GOT ,10-4,127,12,139,analog,"""?""",KMM,,,,,spore,vegetative,,,
269,5/24/17,129 2318,,4/14/17,,4/14/17,,WA,,,2,15,,M,GOT ,10-3,0,0,0,analog,"""?""",KMM,,,,,spore,vegetative,,,contaminated
271,5/24/17,129 2323,,4/14/17,,4/14/17,,WA,,,2,16,,M,GOT ,10-5,418,4,422,analog,BH,KMM,,,,,spore,vegetative,,,
273,5/24/17,129 2322,,4/14/17,,4/14/17,,WA,,,2,16,,M,GOT ,10-4,624,12,636,analog,BH,KMM,,,,,spore,vegetative,,,
275,5/24/17,129 2321,,4/14/17,,4/14/17,,WA,,,2,16,,M,GOT ,10-3,0,0,0,analog,BH,KMM,,,,,spore,vegetative,,,
277,5/24/17,129 2326,,4/14/17,,4/14/17,,WA,,,2,17,,M,GOT ,10-5,0,0,0,analog,BH,KMM,,,,,spore,vegetative,,,
279,5/24/17,129 2325,,4/14/17,,4/14/17,,WA,,,2,17,,M,GOT ,10-4,0,0,0,analog,BH,KMM,,,,,spore,vegetative,,,
281,5/24/17,129 2324,,4/14/17,,4/14/17,,WA,,,2,17,,M,GOT ,10-3,35,0,35,analog,BH,KMM,,,,,spore,vegetative,,,contaminated
283,5/24/17,129 2329,,4/14/17,,4/14/17,,WA,,,2,18,,M,GOT ,10-5,29,0,29,analog,BH,KMM,,,,,spore,vegetative,,,
285,5/24/17,129 2328,,4/14/17,,4/14/17,,WA,,,2,18,,M,GOT ,10-4,17,1,18,analog,BH,KMM,,,,,spore,vegetative,,,
287,5/24/17,129 2327,,4/14/17,,4/14/17,,WA,,,2,18,,M,GOT ,10-3,0,0,0,analog,BH,KMM,,,,,spore,vegetative,,,
289,5/24/17,129 2332,,4/14/17,,4/14/17,,WA,,,2,19,,M,GOT ,10-5,0,0,0,analog,"""?""",KMM,,,,,spore,vegetative,,,
291,5/24/17,129 2331,,4/14/17,,4/14/17,,WA,,,2,19,,M,GOT ,10-4,33,0,33,analog,"""?""",KMM,,,,,spore,vegetative,,,
293,5/24/17,129 2330,,4/14/17,,4/14/17,,WA,,,2,19,,M,GOT ,10-3,0,0,0,analog,"""?""",KMM,,,,,spore,vegetative,,,
295,5/24/17,129 2335,,4/14/17,,4/14/17,,WA,,,2,20,,M,GOT ,10-5,0,0,0,analog,"""?""",KMM,,,,,spore,vegetative,,,
297,5/24/17,129 2334,,4/14/17,,4/14/17,,WA,,,2,20,,M,GOT ,10-4,43,0,43,analog,"""?""",KMM,,,,,spore,vegetative,,,
299,5/24/17,129 2333,,4/14/17,,4/14/17,,WA,,,2,20,,M,GOT ,10-3,0,0,0,analog,"""?""",KMM,,,,,spore,vegetative,,,"""sooo cont"""
