,Photo Date,Photo ID ,Photographed By,Date Plated,Plated By,"Date of Trial
 (Monday)",Set ID,strain,Week Number,Replicate Number,# flies,Sex,"
Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (Notebook),Recorded By (Computer),total consumption (24 hours mm),total consumption (48 hours mm),Total Consumption ,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37
1,6/1/17,133 2614,FW,5/29/17,KMM,5/22/17,,WA,8,1:1,,,B,10-3,132,237,369,analog,,,,,,,vegetative,spore,,,,,,,,,,,,
3,6/1/17,133 2615,FW,5/29/17,KMM,5/22/17,,WA,8,1:1,,,B,10-4,18,29,47,analog,,,,,,,vegetative,spore,,,,,,,,,,,,
5,6/1/17,133 2616,FW,5/29/17,KMM,5/22/17,,WA,8,1:1,,,B,10-5,3,1,4,analog,,,,,,,vegetative,spore,,,,,,,,,,,,
7,7/18/17,145 3403,FW,5/31/17,KMM,5/22/17,,WA,8,1,,,C,10-3,14,125,139,analog,,SLD,KL,,,,vegetative,spore,,,,,,,,,,,,
9,7/18/17,145 3404,FW,5/31/17,KMM,5/22/17,,WA,8,1,,,C,10-4,3,27,30,analog,,SLD,KL,,,,vegetative,spore,,,,,,,,,,,,
11,7/18/17,145 3405,FW,5/31/17,KMM,5/22/17,,WA,8,1,,,C,10-5,0,4,4,analog,,SLD,KL,,,,vegetative,spore,,,,,,,,,,,,
13,7/18/17,145 3406,FW,5/31/17,KMM,5/22/17,,WA,8,2,,,C,10-3,67,708,775,analog,,SLD,KL,,,,vegetative,spore,,,,,,,,,,,,
15,7/18/17,145 3407,FW,5/31/17,KMM,5/22/17,,WA,8,2,,,C,10-4,1,40,41,analog,,SLD,KL,,,,vegetative,spore,,,,,,,,,,,,
17,7/18/17,145 3408,FW,5/31/17,KMM,5/22/17,,WA,8,2,,,C,10-5,0,7,7,analog,,SLD,KL,,,,vegetative,spore,,,Contaminated,,,,,,,,,
19,7/18/17,145 3409,FW,5/31/17,KMM,5/22/17,,WA,8,3,,,C,10-3,32,452,484,analog,,SLD,KL,,,,vegetative,spore,,,,,,,,,,,,
21,7/18/17,145 3410,FW,5/31/17,KMM,5/22/17,,WA,8,3,,,C,10-4,11,71,82,analog,,SLD,KL,,,,vegetative,spore,,,,,,,,,,,,
23,7/18/17,145 3411,FW,5/31/17,KMM,5/22/17,,WA,8,3,,,C,10-5,0,6,6,analog,,SLD,KL,,,,vegetative,spore,,,,,,,,,,,,
25,8/14/17,153 3981,FW,5/31/17,KMM,5/22/17,,WA,8,4,,,C,10-3,27,163,190,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
27,8/14/17,153 3982,FW,5/31/17,KMM,5/22/17,,WA,8,4,,,C,10-4,2,48,50,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
29,8/14/17,153 3983,FW,5/31/17,KMM,5/22/17,,WA,8,4,,,C,10-5,1,5,6,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
31,8/14/17,153 3984,FW,5/31/17,KMM,5/22/17,,WA,8,5,,,C,10-3,53,539,592,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
33,8/14/17,153 3985,FW,5/31/17,KMM,5/22/17,,WA,8,5,,,C,10-4,22,163,185,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
35,8/14/17,153 3986,FW,5/31/17,KMM,5/22/17,,WA,8,5,,,C,10-5,2,11,13,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
37,8/14/17,153 3987,FW,5/31/17,KMM,5/22/17,,WA,8,6,,,C,10-3,48,401,449,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
39,8/14/17,153 3988,FW,5/31/17,KMM,5/22/17,,WA,8,6,,,C,10-4,3,111,114,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
41,8/14/17,153 3989,FW,5/31/17,KMM,5/22/17,,WA,8,6,,,C,10-5,0,6,6,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
43,7/18/17,145 3430,FW,5/31/17,KN,5/22/17,,WA,8,7,,,C,10-3,56,448,504,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
45,7/18/17,145 3431,FW,5/31/17,KN,5/22/17,,WA,8,7,,,C,10-4,12,81,93,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
47,7/18/17,145 3432,FW,5/31/17,KN,5/22/17,,WA,8,7,,,C,10-5,0,12,12,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
49,7/18/17,145 3433,FW,5/31/17,KN,5/22/17,,WA,8,8,,,C,10-3,16,275,291,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
51,7/18/17,145 3434,FW,5/31/17,KN,5/22/17,,WA,8,8,,,C,10-4,15,83,98,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
53,7/18/17,145 3435,FW,5/31/17,KN,5/22/17,,WA,8,8,,,C,10-5,1,10,11,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
55,7/18/17,145 3436,FW,5/31/17,KN,5/22/17,,WA,8,9,,,C,10-3,0,4,4,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
57,7/18/17,145 3437,FW,5/31/17,KN,5/22/17,,WA,8,9,,,C,10-4,0,4,4,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
59,7/18/17,145 3438,FW,5/31/17,KN,5/22/17,,WA,8,9,,,C,10-5,0,3,3,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
61,10/18/17,163 4660,,5/31/17,KN,5/22/17,,WA,8,10,,,C,10-3,14,363,377,analog,FP,FW,KL,,,,vegetative,spore,,,cont,,,,,,,,,
63,10/18/17,163 4661,,5/31/17,KN,5/22/17,,WA,8,10,,,C,10-4,6,60,66,analog,FP,FW,KL,,,,vegetative,spore,,,cont,,,,,,,,,
65,10/18/17,163 4662,,5/31/17,KN,5/22/17,,WA,8,10,,,C,10-5,0,8,8,analog,FP,FW,KL,,,,vegetative,spore,,,cont,,,,,,,,,
67,10/18/17,163 4663,,5/31/17,KN,5/22/17,,WA,8,11,,,C,10-3,4,210,214,analog,FP,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
69,10/18/17,163 4664,,5/31/17,KN,5/22/17,,WA,8,11,,,C,10-4,2,77,79,analog,FP,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
71,10/18/17,163 4665,,5/31/17,KN,5/22/17,,WA,8,11,,,C,10-5,3,13,16,analog,FP,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
73,10/18/17,163 4666,,5/31/17,KN,5/22/17,,WA,8,12,,,C,10-3,2,516,518,analog,FP,FW,KL,,,,vegetative,spore,,,cont,,,,,,,,,
75,10/18/17,163 4667,,5/31/17,KN,5/22/17,,WA,8,12,,,C,10-4,42,169,211,analog,FP,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
77,10/18/17,163 4668,,5/31/17,KN,5/22/17,,WA,8,12,,,C,10-5,1,19,20,analog,FP,FW,KL,,,,vegetative,spore,,,cont,,,,,,,,,
79,10/4/17,159 4393,,5/31/17,KN,5/22/17,,WA,8,13,,,C,10-3,2,63,65,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
81,10/4/17,159 4395,,5/31/17,KN,5/22/17,,WA,8,13,,,C,10-4,1,10,11,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
83,10/4/17,159 4396,,5/31/17,KN,5/22/17,,WA,8,13,,,C,10-5,0,4,4,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
85,10/4/17,159 4397,,5/31/17,KN,5/22/17,,WA,8,14,,,C,10-3,93,520,613,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
87,10/4/17,159 4398,,5/31/17,KN,5/22/17,,WA,8,14,,,C,10-4,10,61,71,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
89,10/4/17,159 4399,,5/31/17,KN,5/22/17,,WA,8,14,,,C,10-5,1,12,13,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
91,10/4/17,159 4400,,5/31/17,KN,5/22/17,,WA,8,15,,,C,10-3,105,883,988,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
93,10/4/17,159 4401,,5/31/17,KN,5/22/17,,WA,8,15,,,C,10-4,21,140,161,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
95,10/4/17,159 4402,,5/31/17,KN,5/22/17,,WA,8,15,,,C,10-5,0,10,10,analog,,FW,KL,,,,vegetative,spore,,,,,,,,,,,,
97,10/24/17,164 4725,KL,5/31/17,UR,5/22/17,,WA,8,1,,F,T,10-2,5,49,54,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
99,10/24/17,164 4724,KL,5/31/17,UR,5/22/17,,WA,8,1,,F,T,10-3,1,4,5,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
101,10/24/17,164 4723,KL,5/31/17,UR,5/22/17,,WA,8,1,,F,T,10-4,0,0,0,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
103,10/24/17,164 4722,KL,5/31/17,UR,5/22/17,,WA,8,2,,F,T,10-2,1,114,115,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
105,10/24/17,164 4721,KL,5/31/17,UR,5/22/17,,WA,8,2,,F,T,10-3,0,13,13,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
107,10/24/17,164 4720,KL,5/31/17,UR,5/22/17,,WA,8,2,,F,T,10-4,0,1,1,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
109,10/24/17,164 4718,KL,5/31/17,UR,5/22/17,,WA,8,3,,F,T,10-2,1,58,59,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
111,10/24/17,164 4717,KL,5/31/17,UR,5/22/17,,WA,8,3,,F,T,10-3,0,4,4,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
113,10/24/17,164 4715,KL,5/31/17,UR,5/22/17,,WA,8,3,,F,T,10-4,0,2,2,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
115,10/04/17,159 4403,,5/31/17,UR,5/22/17,,WA,8,4,,F,T,10-2,0,113,113,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
117,10/04/17,159 4404,,5/31/17,UR,5/22/17,,WA,8,4,,F,T,10-3,0,19,19,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
119,10/04/17,159 4405,,5/31/17,UR,5/22/17,,WA,8,4,,F,T,10-4,0,3,3,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
121,10/04/17,159 4406,,5/31/17,UR,5/22/17,,WA,8,5,,F,T,10-2,6,46,52,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
123,10/04/17,159 4407,,5/31/17,UR,5/22/17,,WA,8,5,,F,T,10-3,1,16,17,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
125,10/04/17,159 4408,,5/31/17,UR,5/22/17,,WA,8,5,,F,T,10-4,0,1,1,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
127,10/04/17,159 4409,,5/31/17,UR,5/22/17,,WA,8,6,,F,T,10-2,0,29,29,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
129,10/04/17,159 4410,,5/31/17,UR,5/22/17,,WA,8,6,,F,T,10-3,0,0,0,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
131,10/04/17,159 4411,,5/31/17,UR,5/22/17,,WA,8,6,,F,T,10-4,0,0,0,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
133,10/04/17,159 4374,,5/31/17,UR,5/22/17,,WA,8,7,,F,T,10-2,0,54,54,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
135,10/04/17,159 4375,,5/31/17,UR,5/22/17,,WA,8,7,,F,T,10-3,0,7,7,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
137,10/04/17,159 4376,,5/31/17,UR,5/22/17,,WA,8,7,,F,T,10-4,0,4,4,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
139,10/04/17,159 4377,,5/31/17,UR,5/22/17,,WA,8,8,,F,T,10-2,0,55,55,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
141,10/04/17,159 4378,,5/31/17,UR,5/22/17,,WA,8,8,,F,T,10-3,0,8,8,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
143,10/04/17,159 4379,,5/31/17,UR,5/22/17,,WA,8,8,,F,T,10-4,0,3,3,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
145,10/04/17,159 4380,,5/31/17,UR,5/22/17,,WA,8,9,,F,T,10-2,0,38,38,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
147,10/04/17,159 4381,,5/31/17,UR,5/22/17,,WA,8,9,,F,T,10-3,0,3,3,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
149,10/04/17,159 4382,,5/31/17,UR,5/22/17,,WA,8,9,,F,T,10-4,0,1,1,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
151,10/18/17,163 4697,,5/31/17,UR,5/22/17,,WA,8,10,,F,T,10-2,30,233,263,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
153,10/18/17,163 4698,,5/31/17,UR,5/22/17,,WA,8,10,,F,T,10-3,1,10,11,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
155,10/18/17,163 4699,,5/31/17,UR,5/22/17,,WA,8,10,,F,T,10-4,0,5,5,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
157,10/18/17,163 4700,,5/31/17,UR,5/22/17,,WA,8,11,,F,T,10-2,0,29,29,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
159,10/18/17,163 4701,,5/31/17,UR,5/22/17,,WA,8,11,,F,T,10-3,0,16,16,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
161,10/18/17,163 4702,,5/31/17,UR,5/22/17,,WA,8,11,,F,T,10-4,0,1,1,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
163,10/18/17,163 4703,,5/31/17,UR,5/22/17,,WA,8,12,,F,T,10-2,7,159,166,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
165,10/18/17,163 4704,,5/31/17,UR,5/22/17,,WA,8,12,,F,T,10-3,0,17,17,analog,,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
167,10/18/17,163 4705,,5/31/17,UR,5/22/17,,WA,8,12,,F,T,10-4,0,12,12,analog,,SLD,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
169,7/18/17,145 3412,FW,5/31/17,MA,5/22/17,,WA,8,13,,F,T,10-2,0,22,22,analog,,SLD,,,,0.0,vegetative,spore,,,contaminated,,,,,,,,,
171,7/18/17,145 3413,FW,5/31/17,MA,5/22/17,,WA,8,13,,F,T,10-3,0,4,4,analog,,SLD,,,,0.0,vegetative,spore,,,contaminated,,,,,,,,,
173,7/18/17,145 3414,FW,5/31/17,MA,5/22/17,,WA,8,13,,F,T,10-4,0,0,0,analog,,SLD,,,,0.0,vegetative,spore,,,contaminated,,,,,,,,,
175,7/18/17,145 3415,FW,5/31/17,UR,5/22/17,,WA,8,14,,F,T,10-2,0,29,29,analog,,SLD,,,,0.0,vegetative,spore,,,,,,,,,,,,
177,7/18/17,145 3416,FW,5/31/17,UR,5/22/17,,WA,8,14,,F,T,10-3,3,246,249,analog,,SLD,,,,0.0,vegetative,spore,,,,,,,,,,,,
179,7/18/17,145 3417,FW,5/31/17,UR,5/22/17,,WA,8,14,,F,T,10-4,0,32,32,analog,,SLD,,,,0.0,vegetative,spore,,,,,,,,,,,,
181,7/18/17,145 3418,FW,5/31/17,UR,5/22/17,,WA,8,15,,F,T,10-2,2,13,15,analog,,SLD,,,,0.0,vegetative,spore,,,,,,,,,,,,
183,7/18/17,145 3419,FW,5/31/17,UR,5/22/17,,WA,8,15,,F,T,10-3,1,1,2,analog,,SLD,,,,0.0,vegetative,spore,,,,,,,,,,,,
185,7/18/17,145 3420,FW,5/31/17,UR,5/22/17,,WA,8,15,,F,T,10-4,0,0,0,analog,,SLD,,,,0.0,vegetative,spore,,,,,,,,,,,,
187,10/4/17,159 4383,,5/31/17,UR/HP,5/22/17,,WA,8,16,,F,T,10-2,4,69,73,analog,,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
189,10/4/17,159 4384,,5/31/17,UR/HP,5/22/17,,WA,8,16,,F,T,10-3,1,14,15,analog,,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
191,10/4/17,159 4385,,5/31/17,UR/HP,5/22/17,,WA,8,16,,F,T,10-4,0,1,1,analog,,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
193,10/4/17,159 4386,,5/31/17,UR/HP,5/22/17,,WA,8,17,,F,T,10-2,0,24,24,analog,,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
195,10/4/17,159 4387,,5/31/17,UR/HP,5/22/17,,WA,8,17,,F,T,10-3,0,0,0,analog,,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
197,10/4/17,159 4388,,5/31/17,UR/HP,5/22/17,,WA,8,17,,F,T,10-4,0,0,0,analog,,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
199,10/4/17,159 4389,,5/31/17,UR/HP,5/22/17,,WA,8,18,,F,T,10-2,2,93,95,analog,,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
201,10/4/17,159 4390,,5/31/17,UR/HP,5/22/17,,WA,8,18,,F,T,10-3,1,15,16,analog,,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
203,10/4/17,159 4391,,5/31/17,UR/HP,5/22/17,,WA,8,18,,F,T,10-4,0,7,7,analog,,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
205,10/10/17,160 4471,KL,5/31/17,UR,5/22/17,,WA,8,19,,F,T,10-2,1,133,134,analog,JC,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
207,10/10/17,160 4472,KL,5/31/17,UR,5/22/17,,WA,8,19,,F,T,10-3,0,14,14,analog,JC,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
209,10/10/17,160 4473,KL,5/31/17,UR,5/22/17,,WA,8,19,,F,T,10-4,1,3,4,analog,JC,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
211,10/10/17,160 4474,KL,5/31/17,UR,5/22/17,,WA,8,20,,F,T,10-2,1,70,71,analog,JC,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
213,10/10/17,160 4475,KL,5/31/17,UR,5/22/17,,WA,8,20,,F,T,10-3,0,10,10,analog,JC,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
215,10/10/17,160 4479,KL,5/31/17,UR,5/22/17,,WA,8,20,,F,T,10-4,0,1,1,analog,JC,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
217,10/10/17,160 4480,KL,5/31/17,UR,5/22/17,,WA,8,21,,F,T,10-2,0,45,45,analog,JC,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
219,10/10/17,160 4481,KL,5/31/17,UR,5/22/17,,WA,8,21,,F,T,10-3,0,3,3,analog,JC,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
221,10/10/17,160 4483,KL,5/31/17,UR,5/22/17,,WA,8,21,,F,T,10-4,0,0,0,analog,JC,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
223,7/18/17,145 3421,FW,5/31/17,HMP,5/22/17,,WA,8,22,,F,T,10-2,0,54,54,analog,,SLD,,,,0.0,vegetative,spore,,,,,,,,,,,,
225,7/18/17,145 3422,FW,5/31/17,HMP,5/22/17,,WA,8,22,,F,T,10-3,0,5,5,analog,,SLD,,,,0.0,vegetative,spore,,,,,,,,,,,,
227,7/18/17,145 3423,FW,5/31/17,HMP,5/22/17,,WA,8,22,,F,T,10-4,0,2,2,analog,,SLD,,,,0.0,vegetative,spore,,,,,,,,,,,,
229,7/18/17,145 3424,FW,5/31/17,HMP,5/22/17,,WA,8,23,,F,T,10-2,5,13,18,analog,,SLD,,,,0.0,vegetative,spore,,,,,,,,,,,,
231,7/18/17,145 3425,FW,5/31/17,HMP,5/22/17,,WA,8,23,,F,T,10-3,0,1,1,analog,,SLD,,,,0.0,vegetative,spore,,,,,,,,,,,,
233,7/18/17,145 3426,FW,5/31/17,HMP,5/22/17,,WA,8,23,,F,T,10-4,0,0,0,analog,,SLD,,,,0.0,vegetative,spore,,,,,,,,,,,,
235,7/18/17,145 2427,FW,5/31/17,HMP,5/22/17,,WA,8,24,,F,T,10-2,0,0,0,analog,,SLD,,,,0.0,vegetative,spore,,,,,,,,,,,,
237,7/18/17,145 2428,FW,5/31/17,HMP,5/22/17,,WA,8,24,,F,T,10-3,0,0,0,analog,,SLD,,,,0.0,vegetative,spore,,,,,,,,,,,,
239,7/18/17,145 2429,FW,5/31/17,HMP,5/22/17,,WA,8,24,,F,T,10-4,0,0,0,analog,,SLD,,,,0.0,vegetative,spore,,,,,,,,,,,,
241,7/18/17,145 3448,FW,5/31/17,UR,5/22/17,,WA,8,25,,F,T,10-2,2,7,9,analog,FP,FW,,,,0.0,vegetative,spore,,,contaminated,,,,,,,,,
243,7/18/17,145 3449,FW,5/31/17,UR,5/22/17,,WA,8,25,,F,T,10-3,0,0,0,analog,FP,FW,,,,0.0,vegetative,spore,,,contaminated,,,,,,,,,
245,7/18/17,145 3450,FW,5/31/17,UR,5/22/17,,WA,8,25,,F,T,10-4,1,0,1,analog,FP,FW,,,,0.0,vegetative,spore,,,contaminated,,,,,,,,,
247,7/18/17,145 3451,FW,5/31/17,UR,5/22/17,,WA,8,26,,F,T,10-2,0,2,2,analog,FP,FW,,,,0.0,vegetative,spore,,,contaminated,,,,,,,,,
249,7/18/17,145 3452,FW,5/31/17,UR,5/22/17,,WA,8,26,,F,T,10-3,0,18,18,analog,FP,FW,,,,0.0,vegetative,spore,,,contaminated,,,,,,,,,
251,7/18/17,145 3453,FW,5/31/17,UR,5/22/17,,WA,8,26,,F,T,10-4,NC,NC,#VALUE!,analog,FP,FW,,,,0.0,vegetative,spore,,,contaminated,,,,,,,,,
253,7/18/17,145 3454,FW,5/31/17,UR,5/22/17,,WA,8,27,,F,T,10-2,1,34,35,analog,FP,FW,,,,0.0,vegetative,spore,,,contaminated,,,,,,,,,
255,7/18/17,145 3455,FW,5/31/17,UR,5/22/17,,WA,8,27,,F,T,10-3,1,13,14,analog,FP,FW,,,,0.0,vegetative,spore,,,contaminated,,,,,,,,,
257,7/18/17,145 3456,FW,5/31/17,UR,5/22/17,,WA,8,27,,F,T,10-4,0,0,0,analog,FP,FW,,,,0.0,vegetative,spore,,,contaminated,,,,,,,,,
259,10/18/17,163 4706,,5/31/17,UR/HP,5/22/17,,WA,8,28,,F,T,10-2,4,359,363,analog,,FW,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
261,10/18/17,163 4707,,5/31/17,UR/HP,5/22/17,,WA,8,28,,F,T,10-3,0,38,38,analog,,FW,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
263,10/18/17,163 4708,,5/31/17,UR/HP,5/22/17,,WA,8,28,,F,T,10-4,0,3,3,analog,,FW,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
265,10/18/17,163 4709,,5/31/17,UR/HP,5/22/17,,WA,8,29,,F,T,10-2,1,252,253,analog,,FW,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
267,10/18/17,163 4710,,5/31/17,UR/HP,5/22/17,,WA,8,29,,F,T,10-3,0,18,18,analog,,FW,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
269,10/18/17,163 4711,,5/31/17,UR/HP,5/22/17,,WA,8,29,,F,T,10-4,0,4,4,analog,,FW,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
271,10/18/17,163 4712,,5/31/17,UR/HP,5/22/17,,WA,8,30,,F,T,10-2,1,0,1,analog,,FW,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
273,10/18/17,163 4713,,5/31/17,UR/HP,5/22/17,,WA,8,30,,F,T,10-3,0,0,0,analog,,FW,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
275,10/18/17,163 4714,,5/31/17,UR/HP,5/22/17,,WA,8,30,,F,T,10-4,0,4,4,analog,,FW,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
277,10/10/17,160 4492,KL,5/31/17,HB,5/22/17,,WA,8,1,,M,T,10-2,0,15,15,analog,JC,CK,KL,,,0.0,vegetative,spore,,,,,,,,,,,,
279,10/24/17,164 4734,,5/31/17,HB,5/22/17,,WA,8,1,,M,T,10-3,0,3,3,analog,,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
281,10/24/17,164 4750,,5/31/17,HB,5/22/17,,WA,8,1,,M,T,10-4,0,0,0,analog,,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
283,10/10/17,160 4491,KL,5/31/17,HB,5/22/17,,WA,8,2,,M,T,10-2,2,8,10,analog,JC,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
285,10/24/17,164 4733,,5/31/17,HB,5/22/17,,WA,8,2,,M,T,10-3,1,8,9,analog,,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
287,10/24/17,164 4749,,5/31/17,HB,5/22/17,,WA,8,2,,M,T,10-4,0,0,0,analog,,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
289,10/10/17,160 4490,KL,5/31/17,HB,5/22/17,,WA,8,3,,M,T,10-2,0,26,26,analog,JC,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
291,10/24/17,164 4732,,5/31/17,HB,5/22/17,,WA,8,3,,M,T,10-3,0,1,1,analog,,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
293,10/24/17,164 4748,,5/31/17,HB,5/22/17,,WA,8,3,,M,T,10-4,0,0,0,analog,,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
295,10/10/17,160 4489,KL,5/31/17,HB,5/22/17,,WA,8,4,,M,T,10-2,0,8,8,analog,JC,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
297,10/24/17,164 4731,,5/31/17,HB,5/22/17,,WA,8,4,,M,T,10-3,0,1,1,analog,,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
299,10/24/17,164 4746,,5/31/17,HB,5/22/17,,WA,8,4,,M,T,10-4,0,1,1,analog,,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
301,10/10/17,160 4488,KL,5/31/17,HB,5/22/17,,WA,8,5,,M,T,10-2,0,0,0,analog,JC,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
303,10/24/17,164 4730,,5/31/17,HB,5/22/17,,WA,8,5,,M,T,10-3,0,3,3,analog,,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
305,10/24/17,164 4743,,5/31/17,HB,5/22/17,,WA,8,5,,M,T,10-4,0,0,0,analog,,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
307,10/10/17,160 4487,KL,5/31/17,HB,5/22/17,,WA,8,6,,M,T,10-2,4,43,47,analog,JC,CK,,,,0.0,vegetative,spore,,,,,,,,,,,,
