,Photo Date,Photo ID ,Photographed By,Date Plate,Plated By,"Date of Trial
 (Monday)",Set ID,strain,Week Number,Replicate Number,# flies,Sex,"Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))
","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (Notebook),Recorded By (Computer),"total consumption (mm, 24 hrs)","total consumption (mm, 48 hrs)",Total Consumption,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes
1,6/2/17,133 2644,FW,5/1/17,HB,5/1/17,,WE,5,1:1,,,B,10-3,35,242,277,analog,,,,,,,vegetative,spore,,,
3,6/2/17,133 2645,FW,5/1/17,HB,5/1/17,,WE,5,1:1,,,B,10-4,2,19,21,analog,,,,,,,vegetative,spore,,,
5,6/2/17,133 2646,FW,5/1/17,HB,5/1/17,,WE,5,1:1,,,B,10-5,0,2,2,analog,,,,,,,vegetative,spore,,,
7,7/11/17,140 3059,FW,5/3/17,HB,5/1/17,,WE,5,1,,,C,10-3,32,742,774,analog,FW,,,,,,vegetative,spore,,,
9,7/12/17,142 3189,FW,5/3/17,HB,5/1/17,,WE,5,1,,,C,10-4,4,88,92,analog,BH,FW,,,,,vegetative,spore,,,
11,7/12/17,142 3198,FW,5/3/17,HB,5/1/17,,WE,5,1,,,C,10-5,1,27,28,analog,HP,CK,,,,,vegetative,spore,,,
13,7/11/17,140 3060,FW,5/3/17,HB,5/1/17,,WE,5,2,,,C,10-3,25,460,485,analog,FW,,,,,,vegetative,spore,,,
15,7/12/17,142 3190,FW,5/3/17,HB,5/1/17,,WE,5,2,,,C,10-4,6,195,201,analog,BH,FW,,,,,vegetative,spore,,,
17,7/12/17,142 3199,FW,5/3/17,HB,5/1/17,,WE,5,2,,,C,10-5,1,20,21,analog,HP,CK,,,,,vegetative,spore,,,
19,7/11/17,140 3061,FW,5/3/17,HB,5/1/17,,WE,5,3,,,C,10-3,26,791,817,analog,FW,,,,,,vegetative,spore,,,
21,7/12/17,142 3191,FW,5/3/17,HB,5/1/17,,WE,5,3,,,C,10-4,2,73,75,analog,BH,FW,,,,,vegetative,spore,,,
23,7/12/17,142 3200,FW,5/3/17,HB,5/1/17,,WE,5,3,,,C,10-5,0,38,38,analog,HP,CK,,,,,vegetative,spore,,,
25,7/11/17,140 3062,FW,5/3/17,HB,5/1/17,,WE,5,4,,,C,10-3,30,581,611,analog,FW,,,,,,vegetative,spore,,,
27,,,,,,5/1/17,,WE,5,4,,,C,10-4,4,133,137,analog,PJW,HB,,,,,vegetative,spore,,,
29,7/12/17,142 3201,FW,5/3/17,HB,5/1/17,,WE,5,4,,,C,10-5,1,24,25,analog,HP,CK,,,,,vegetative,spore,,,
31,7/11/17,140 3063,FW,5/3/17,HB,5/1/17,,WE,5,5,,,C,10-3,54,580,634,analog,FW,,,,,,vegetative,spore,,,
33,,,,,,5/1/17,,WE,5,5,,,C,10-4,4,90,94,analog,PJW,HB,,,,,vegetative,spore,,,
35,7/12/17,142 3202,FW,5/3/17,HB,5/1/17,,WE,5,5,,,C,10-5,0,34,34,analog,HP,CK,,,,,vegetative,spore,,,
37,7/11/17,140 3064,FW,5/3/17,HB,5/1/17,,WE,5,6,,,C,10-3,31,661,692,analog,FW,,,,,,vegetative,spore,,,
39,,,,,,5/1/17,,WE,5,6,,,C,10-4,1,40,41,analog,PJW,HB,,,,,vegetative,spore,,,
41,7/12/17,142 3203,FW,5/3/17,HB,5/1/17,,WE,5,6,,,C,10-5,2,17,19,analog,HP,CK,,,,,vegetative,spore,,,
43,7/11/17,140 3065,FW,5/3/17,HB,5/1/17,,WE,5,7,,,C,10-3,45,1066,1111,analog,FW,,,,,,vegetative,spore,,,
45,,,,,,5/1/17,,WE,5,7,,,C,10-4,7,149,156,analog,PJW,HB,,,,,vegetative,spore,,,
47,7/12/17,142 3204,FW,5/3/17,HB,5/1/17,,WE,5,7,,,C,10-5,2,31,33,analog,HP,CK,,,,,vegetative,spore,,,
49,7/12/17,140 3192,FW,5/3/17,HB,5/1/17,,WE,5,8,,,C,10-3,9,235,244,analog,BH,FW,,,,,vegetative,spore,,,streaks
51,,,,,,5/1/17,,WE,5,8,,,C,10-4,3,96,99,analog,PJW,HB,,,,,vegetative,spore,,,
53,7/12/17,142 3205,FW,5/3/17,HB,5/1/17,,WE,5,8,,,C,10-5,2,31,33,analog,HP,CK,,,,,vegetative,spore,,,
55,7/12/17,142 3193,FW,5/3/17,HB,5/1/17,,WE,5,9,,,C,10-3,36,550,586,analog,BH,FW,,,,,vegetative,spore,,,streaks
57,,,,,,5/1/17,,WE,5,9,,,C,10-4,1,63,64,analog,PJW,HB,,,,,vegetative,spore,,,
59,7/12/17,142 3206,FW,5/3/17,HB,5/1/17,,WE,5,9,,,C,10-5,1,37,38,analog,HP,CK,,,,,vegetative,spore,,,
61,7/12/17,142 3194,FW,5/3/17,HB,5/1/17,,WE,5,10,,,C,10-3,45,516,561,analog,BH,FW,,,,,vegetative,spore,,,streaks
63,,,,,,5/1/17,,WE,5,10,,,C,10-4,5,160,165,analog,PJW,HB,,,,,vegetative,spore,,,
65,5/26/17,131 2487,,5/3/17,HB,5/1/17,,WE,5,10,,,C,10-5,0,41,41,analog,,KMM,FW,,,,vegetative,spore,,,
67,7/12/17,142 3195,FW,5/3/17,HB,5/1/17,,WE,5,11,,,C,10-3,25,350,375,analog,BH,FW,,,,,vegetative,spore,,,streaks
69,,,,,,5/1/17,,WE,5,11,,,C,10-4,6,129,135,analog,PJW,HB,,,,,vegetative,spore,,,
71,5/26/17,131 2486,,5/3/17,HB,5/1/17,,WE,5,11,,,C,10-5,0,61,61,analog,,KMM,,,,,vegetative,spore,,,
73,7/12/17,142 3196,FW,5/3/17,HB,5/1/17,,WE,5,12,,,C,10-3,41,749,790,analog,BH,FW,,,,,vegetative,spore,,,
75,5/26/17,131 2481,,5/3/17,HB,5/1/17,,WE,5,12,,,C,10-4,9,202,211,analog,,KMM,,,,,vegetative,spore,,,
77,5/26/17,131 2485,,5/3/17,HB,5/1/17,,WE,5,12,,,C,10-5,3,29,32,analog,,KMM,,,,,vegetative,spore,,,
79,7/12/17,142 3197,FW,5/3/17,HB,5/1/17,,WE,5,13,,,C,10-3,42,776,818,analog,,FW,,,,,vegetative,spore,,,
81,5/26/17,131 2480,,5/3/17,HB,5/1/17,,WE,5,13,,,C,10-4,5,239,244,analog,,KMM,,,,,vegetative,spore,,,
83,5/26/17,131 2484,,5/3/17,HB,5/1/17,,WE,5,13,,,C,10-5,2,35,37,analog,,KMM,,,,,vegetative,spore,,,
85,7/11/17,140 3066,FW,5/3/17,HB,5/1/17,,WE,5,14,,,C,10-3,34,758,792,analog,FW,,,,,,vegetative,spore,,,
87,5/26/17,131 2479,,5/3/17,HB,5/1/17,,WE,5,14,,,C,10-4,4,88,92,analog,,KMM,,,,,vegetative,spore,,,
89,5/26/17,131 2483,,5/3/17,HB,5/1/17,,WE,5,14,,,C,10-5,1,22,23,analog,,KMM,,,,,vegetative,spore,,,
91,7/11/17,140 3067,FW,5/3/17,HB,5/1/17,,WE,5,15,,,C,10-3,26,848,874,analog,fw,,,,,,vegetative,spore,,,
93,,,,,,5/1/17,,WE,5,15,,,C,10-4,2,116,118,analog,PJW,HB,,,,,vegetative,spore,,,
95,5/26/17,131 2482,,5/3/17,HB,5/1/17,,WE,5,15,,,C,10-5,0,32,32,analog,,KMM,,,,,vegetative,spore,,,
97,7/10/17,140 3023,FW,5/3/17,HB,5/1/17,,WE,5,1,,F,T,10-2,0,66,66,analog,,fw,,23.0,33,56,vegetative,spore,,,contaminated
99,7/11/17,141 3133,FW,5/3/17,HB,5/1/17,,WE,5,1,,F,T,10-3,0,11,11,analog,fw,,,23.0,33,56,vegetative,spore,,,
101,5/26/17,131 2454,,5/3/17,HB,5/1/17,,WE,5,1,,F,T,10-4,0,2,2,analog,,AZD,,23.0,33,56,vegetative,spore,,,cont
103,7/10/17,140 3024,FW,5/3/17,HB,5/1/17,,WE,5,2,,F,T,10-2,0,40,40,analog,,fw,,22.0,36,58,vegetative,spore,,,cont
105,7/11/17,141 3134,FW,5/3/17,HB,5/1/17,,WE,5,2,,F,T,10-3,2,14,16,analog,fw,,,22.0,36,58,vegetative,spore,,,cont
107,5/26/17,131 2455,,5/3/17,HB,5/1/17,,WE,5,2,,F,T,10-4,0,1,1,analog,,AZD,,22.0,36,58,vegetative,spore,,,cont
109,7/10/17,140 3025,FW,5/3/17,HB,5/1/17,,WE,5,3,,F,T,10-2,0,114,114,analog,,fw,,21.0,40,61,vegetative,spore,,,
111,7/11/17,141 3135,FW,5/3/17,HB,5/1/17,,WE,5,3,,F,T,10-3,0,21,21,analog,fw,,,21.0,40,61,vegetative,spore,,,cont
113,5/26/17,131 2456,,5/3/17,HB,5/1/17,,WE,5,3,,F,T,10-4,0,7,7,analog,,AZD,,21.0,40,61,vegetative,spore,,,cont
115,7/10/17,140 3026,FW,5/3/17,HB,5/1/17,,WE,5,4,,F,T,10-2,0,25,25,analog,,fw,,25.0,35,60,vegetative,spore,,,
117,7/11/17,141 3136,FW,5/3/17,HB,5/1/17,,WE,5,4,,F,T,10-3,0,10,10,analog,fw,,,25.0,35,60,vegetative,spore,,,
119,5/26/17,131 2458,,5/3/17,HB,5/1/17,,WE,5,4,,F,T,10-4,0,0,0,analog,,AZD,,25.0,35,60,vegetative,spore,,,
121,7/10/17,140 3027,FW,5/3/17,HB,5/1/17,,WE,5,5,,F,T,10-2,0,24,24,analog,,fw,,36.0,47,83,vegetative,spore,,,contaminated
123,7/11/17,141 3137,FW,5/3/17,HB,5/1/17,,WE,5,5,,F,T,10-3,0,52,52,analog,fw,,,36.0,47,83,vegetative,spore,,,
125,5/26/17,131 2459,,5/3/17,HB,5/1/17,,WE,5,5,,F,T,10-4,0,0,0,analog,,AZD,,36.0,47,83,vegetative,spore,,,
127,7/10/17,140 3028,FW,5/3/17,HB,5/1/17,,WE,5,6,,F,T,10-2,0,107,107,analog,,fw,,14.0,17,31,vegetative,spore,,,
129,7/11/17,141 3138,FW,5/3/17,HB,5/1/17,,WE,5,6,,F,T,10-3,0,2,2,analog,fw,,,14.0,17,31,vegetative,spore,,,
131,5/26/17,131 2463,,5/3/17,HB,5/1/17,,WE,5,6,,F,T,10-4,0,4,4,analog,,AZD,,14.0,17,31,vegetative,spore,,,cont
133,7/10/17,140 3029,FW,5/3/17,HB,5/1/17,,WE,5,7,,F,T,10-2,0,39,39,analog,,fw,,14.0,29,43,vegetative,spore,,,
135,7/11/17,141 3139,FW,5/3/17,HB,5/1/17,,WE,5,7,,F,T,10-3,0,14,14,analog,fw,,,14.0,29,43,vegetative,spore,,,cont
137,5/26/17,131 2464,,5/3/17,HB,5/1/17,,WE,5,7,,F,T,10-4,0,2,2,analog,,AZD,,14.0,29,43,vegetative,spore,,,cont
139,7/10/17,140 3030,FW,5/3/17,HB,5/1/17,,WE,5,8,,F,T,10-2,0,91,91,analog,,fw,,18.0,30,48,vegetative,spore,,,cont
141,7/11/17,141 3140,FW,5/3/17,HB,5/1/17,,WE,5,8,,F,T,10-3,0,20,20,analog,fw,,,18.0,30,48,vegetative,spore,,,cont
143,5/26/17,131 2465,,5/3/17,HB,5/1/17,,WE,5,8,,F,T,10-4,0,4,4,analog,,AZD,,18.0,30,48,vegetative,spore,,,cont
145,7/10/17,140 3031,FW,5/3/17,HB,5/1/17,,WE,5,9,,F,T,10-2,0,243,243,analog,,fw,,11.0,26,37,vegetative,spore,,,
147,7/11/17,141 3141,FW,5/3/17,HB,5/1/17,,WE,5,9,,F,T,10-3,1,36,37,analog,fw,,,11.0,26,37,vegetative,spore,,,
149,5/26/17,131 2466,,5/3/17,HB,5/1/17,,WE,5,9,,F,T,10-4,0,2,2,analog,,AZD,,11.0,26,37,vegetative,spore,,,
151,7/10/17,140 3032,FW,5/3/17,HB,5/1/17,,WE,5,10,,F,T,10-2,0,2,2,analog,,fw,,18.0,27,45,vegetative,spore,,,contaminated
153,7/11/17,141 3114,FW,5/3/17,HB,5/1/17,,WE,5,10,,F,T,10-3,nc,nc,#VALUE!,analog,ty,fw,,18.0,27,45,vegetative,spore,,,contaminated
155,7/11/17,141 3162,FW,5/3/17,HB,5/1/17,,WE,5,10,,F,T,10-4,0,1,1,analog,HP,CK,,18.0,27,45,vegetative,spore,,,
157,7/10/17,140 3033,FW,5/3/17,HB,5/1/17,,WE,5,11,,F,T,10-2,0,53,53,analog,bh,fw,,28.0,63,91,vegetative,spore,,,
159,7/11/17,141 3115,FW,5/3/17,HB,5/1/17,,WE,5,11,,F,T,10-3,0,10,10,analog,ty,fw,,28.0,63,91,vegetative,spore,,,
161,7/11/17,141 3163,FW,5/3/17,HB,5/1/17,,WE,5,11,,F,T,10-4,0,1,1,analog,HP,CK,,28.0,63,91,vegetative,spore,,,
163,7/10/17,140 3034,FW,5/3/17,HB,5/1/17,,WE,5,12,,F,T,10-2,0,35,35,analog,bh,fw,,10.0,17,27,vegetative,spore,,,
165,7/11/17,141 3116,FW,5/3/17,HB,5/1/17,,WE,5,12,,F,T,10-3,6,4,10,analog,ty,fw,,10.0,17,27,vegetative,spore,,,
167,7/11/17,141 3164,FW,5/3/17,HB,5/1/17,,WE,5,12,,F,T,10-4,0,1,1,analog,HP,CK,,10.0,17,27,vegetative,spore,,,
169,7/10/17,140 3035,FW,5/3/17,HB,5/1/17,,WE,5,13,,F,T,10-2,1,445,446,analog,bh,fw,,18.0,13,31,vegetative,spore,,,
171,7/11/17,141 3117,FW,5/3/17,HB,5/1/17,,WE,5,13,,F,T,10-3,132,1,133,analog,ty,fw,,18.0,13,31,vegetative,spore,,,
173,7/11/17,141 3165,FW,5/3/17,HB,5/1/17,,WE,5,13,,F,T,10-4,0,15,15,analog,HP,CK,,18.0,13,31,vegetative,spore,,,
175,7/10/17,140 3036,FW,5/3/17,HB,5/1/17,,WE,5,14,,F,T,10-2,0,133,133,analog,bh,fw,,30.0,33,63,vegetative,spore,,,
177,7/11/17,141 3118,FW,5/3/17,HB,5/1/17,,WE,5,14,,F,T,10-3,6,12,18,analog,ty,fw,,30.0,33,63,vegetative,spore,,,contaminated
179,7/11/17,141 3166,FW,5/3/17,HB,5/1/17,,WE,5,14,,F,T,10-4,0,3,3,analog,HP,CK,,30.0,33,63,vegetative,spore,,,
181,7/10/17,140 3037,FW,5/3/17,HB,5/1/17,,WE,5,15,,F,T,10-2,0,25,25,analog,bh,fw,,14.0,29,43,vegetative,spore,,,contaminated
183,7/11/17,141 3119,FW,5/3/17,HB,5/1/17,,WE,5,15,,F,T,10-3,6,7,13,analog,ty,fw,,14.0,29,43,vegetative,spore,,,contaminated
185,7/11/17,141 3167,FW,5/3/17,HB,5/1/17,,WE,5,15,,F,T,10-4,0,1,1,analog,HP,CK,,14.0,29,43,vegetative,spore,,,
187,7/10/17,140 3038,FW,5/3/17,HB,5/1/17,,WE,5,16,,F,T,10-2,0,21,21,analog,BH,FW,,16.0,37,53,vegetative,spore,,,cont
189,7/11/17,141 3120,FW,5/3/17,HB,5/1/17,,WE,5,16,,F,T,10-3,0,2,2,analog,TY,FW,,16.0,37,53,vegetative,spore,,,cont
191,7/11/17,141 3168,FW,5/3/17,HB,5/1/17,,WE,5,16,,F,T,10-4,0,8,8,analog,HP,CK,,16.0,37,53,vegetative,spore,,,
193,7/10/17,140 3039,FW,5/3/17,HB,5/1/17,,WE,5,17,,F,T,10-2,0,131,131,analog,bh,fw,,20.0,50,70,vegetative,spore,,,
195,7/11/17,141 3121,FW,5/3/17,HB,5/1/17,,WE,5,17,,F,T,10-3,0,12,12,analog,ty,fw,,20.0,50,70,vegetative,spore,,,contaminated
197,7/11/17,141 3169,FW,5/3/17,HB,5/1/17,,WE,5,17,,F,T,10-4,0,2,2,analog,HP,CK,,20.0,50,70,vegetative,spore,,,
199,7/10/17,140 3040,FW,5/3/17,HB,5/1/17,,WE,5,18,,F,T,10-2,2,147,149,analog,,FW,,14.0,35,49,vegetative,spore,,,cont
201,7/11/17,141 3122,FW,5/3/17,HB,5/1/17,,WE,5,18,,F,T,10-3,0,22,22,analog,,FW,,14.0,35,49,vegetative,spore,,,cont
203,7/11/17,141 3170,FW,5/3/17,HB,5/1/17,,WE,5,18,,F,T,10-4,0,4,4,analog,HP,CK,,14.0,35,49,vegetative,spore,,,
205,7/12/17,142 3207,FW,5/3/17,HB,5/1/17,,WE,5,19,,F,T,10-2,0,136,136,analog,FW,FW,,32.0,35,67,vegetative,spore,,,cont
207,7/6/17,138 2807,FW,5/3/17,HB,5/1/17,,WE,5,19,,F,T,10-3,0,5,5,analog,,SLD,,32.0,35,67,vegetative,spore,,,
209,5/5/17,120 1500 ,,5/3/17,,5/1/17,,WE,5,19,,F,T,10-4,0,5,5,analog,PJW,HB,,32.0,35,67,vegetative,spore,,,
211,7/12/17,142 3208,FW,5/3/17,HB,5/1/17,,WE,5,20,,F,T,10-2,0,15,15,analog,FW,FW,,22.0,9,31,vegetative,spore,,,
213,7/6/17,138 2808,FW,5/3/17,HB,5/1/17,,WE,5,20,,F,T,10-3,0,4,4,analog,,SLD,,22.0,9,31,vegetative,spore,,,
215,5/5/17,120 1501,,5/3/17,,5/1/17,,WE,5,20,,F,T,10-4,0,3,3,analog,PJW,HB,,22.0,9,31,vegetative,spore,,,
217,7/12/17,142 3209,FW,5/3/17,HB,5/1/17,,WE,5,21,,F,T,10-2,1,68,69,analog,FW,FW,,13.0,19,32,vegetative,spore,,,
219,7/6/17,138 2809,FW,5/3/17,HB,5/1/17,,WE,5,21,,F,T,10-3,0,6,6,analog,,SLD,,13.0,19,32,vegetative,spore,,,
221,5/5/17,120 1502,,5/3/17,,5/1/17,,WE,5,21,,F,T,10-4,0,5,5,analog,PJW,HB,,13.0,19,32,vegetative,spore,,,
223,7/12/17,142 3210,FW,5/3/17,HB,5/1/17,,WE,5,22,,F,T,10-2,0,69,69,analog,FW,FW,,17.0,22,39,vegetative,spore,,,cont
225,7/6/17,142 2810,FW,5/3/17,HB,5/1/17,,WE,5,22,,F,T,10-3,0,13,13,analog,,SLD,,17.0,22,39,vegetative,spore,,,
227,5/5/17,120 1503 ,,5/3/17,,5/1/17,,WE,5,22,,F,T,10-4,0,1,1,analog,PJW,HB,,17.0,22,39,vegetative,spore,,,
229,7/12/17,142 3211,FW,5/3/17,HB,5/1/17,,WE,5,23,,F,T,10-2,0,134,134,analog,FW,FW,,22.0,33,55,vegetative,spore,,,
231,7/6/17,138 2811,FW,5/3/17,HB,5/1/17,,WE,5,23,,F,T,10-3,0,10,10,analog,,SLD,,22.0,33,55,vegetative,spore,,,
233,5/5/17,120 1504,,5/3/17,,5/1/17,,WE,5,23,,F,T,10-4,0,4,4,analog,PJW,HB,,22.0,33,55,vegetative,spore,,,
235,7/12/17,142 3212,FW,5/3/17,HB,5/1/17,,WE,5,24,,F,T,10-2,1,209,210,analog,FW,FW,,19.0,28,47,vegetative,spore,,,
237,7/6/17,137 2812,FW,5/3/17,HB,5/1/17,,WE,5,24,,F,T,10-3,0,19,19,analog,,SLD,,19.0,28,47,vegetative,spore,,,
239,5/5/17,120 1505 ,,5/3/17,,5/1/17,,WE,5,24,,F,T,10-4,0,5,5,analog,PJW,HB,,19.0,28,47,vegetative,spore,,,
241,7/12/17,142 3213,FW,5/3/17,HB,5/1/17,,WE,5,25,,F,T,10-2,0,89,89,analog,FW,FW,,12.0,16,28,vegetative,spore,,,
243,7/6/17,138 2813,FW,5/3/17,HB,5/1/17,,WE,5,25,,F,T,10-3,0,16,16,analog,,SLD,,12.0,16,28,vegetative,spore,,,
245,5/5/17,120 1506,,5/3/17,,5/1/17,,WE,5,25,,F,T,10-4,0,0,0,analog,PJW,HB,,12.0,16,28,vegetative,spore,,,
247,7/12/17,142 3214,FW,5/3/17,HB,5/1/17,,WE,5,26,,F,T,10-2,1,1,2,analog,FW,FW,,15.0,37,52,vegetative,spore,,,
249,7/6/17,138 2814,FW,5/3/17,HB,5/1/17,,WE,5,26,,F,T,10-3,0,0,0,analog,,SLD,,15.0,37,52,vegetative,spore,,,
251,5/5/17,120 1507,,5/3/17,,5/1/17,,WE,5,26,,F,T,10-4,0,0,0,analog,PJW,HB,,15.0,37,52,vegetative,spore,,,
253,7/12/17,142 3215,FW,5/3/17,HB,5/1/17,,WE,5,27,,F,T,10-2,0,8,8,analog,FW,FW,,20.0,27,47,vegetative,spore,,,
255,7/6/17,138 2815,FW,5/3/17,HB,5/1/17,,WE,5,27,,F,T,10-3,0,15,15,analog,,SLD,,20.0,27,47,vegetative,spore,,,
257,5/5/17,120 1508,,5/3/17,,5/1/17,,WE,5,27,,F,T,10-4,0,0,0,analog,PJW,HB,,20.0,27,47,vegetative,spore,,,
259,7/11/17,141 3180,FW,5/3/17,HB,5/1/17,,WE,5,28,,F,T,10-2,0,16,16,analog,TY,FW,,23.0,63,86,vegetative,spore,,,contaminated
261,7/11/17,141 3181,FW,5/3/17,HB,5/1/17,,WE,5,28,,F,T,10-3,0,96,96,analog,TY,FW,,23.0,63,86,vegetative,spore,,,contaminated
263,7/11/17,141 3182,FW,5/3/17,HB,5/1/17,,WE,5,28,,F,T,10-4,1,8,9,analog,TY,FW,,23.0,63,86,vegetative,spore,,,contaminated
265,7/11/17,141 3183,FW,5/3/17,HB,5/1/17,,WE,5,29,,F,T,10-2,1,12,13,analog,TY,FW,,9.0,23,32,vegetative,spore,,,contaminated
267,7/11/17,141 3184,FW,5/3/17,HB,5/1/17,,WE,5,29,,F,T,10-3,0,3,3,analog,TY,FW,,9.0,23,32,vegetative,spore,,,
269,7/11/17,141 3185,FW,5/3/17,HB,5/1/17,,WE,5,29,,F,T,10-4,0,56,56,analog,TY,FW,,9.0,23,32,vegetative,spore,,,
271,7/11/17,141 3186,FW,5/3/17,HB,5/1/17,,WE,5,30,,F,T,10-2,6,97,103,analog,TY,FW,,23.0,-,#VALUE!,vegetative,spore,,,contaminated
273,7/11/17,141 3187,FW,5/3/17,HB,5/1/17,,WE,5,30,,F,T,10-3,0,28,28,analog,TY,FW,,23.0,-,#VALUE!,vegetative,spore,,,
275,7/11/17,141 3188,FW,5/3/17,HB,5/1/17,,WE,5,30,,F,T,10-4,0,301,301,analog,TY,FW,,23.0,-,#VALUE!,vegetative,spore,,,contaminated
277,7/12/17,142 3225,FW,5/3/17,UR,5/1/17,,WE,5,1,,M,T,10-2,0,3,3,analog,HP,CK,,14.0,23,37,vegetative,spore,,,
279,5/12/17,123 1754,,5/3/17,UR,5/1/17,,WE,5,1,,M,T,10-3,0,9,9,analog,AZD,"KL, KMM, HB",,14.0,23,37,vegetative,spore,,,
281,7/7/17,139 2942,FW,5/3/17,UR,5/1/17,,WE,5,1,,M,T,10-4,nan,nan,0,analog,,,,14.0,23,37,vegetative,spore,,,
283,7/12/17,142 3226,FW,5/3/17,UR,5/1/17,,WE,5,2,,M,T,10-2,4,42,46,analog,HP,CK,,37.0,49,86,vegetative,spore,,,
285,5/12/17,123 1757 ,,5/3/17,UR,5/1/17,,WE,5,2,,M,T,10-3,0,15,15,analog,AZD,"KL, KMM, HB",,37.0,49,86,vegetative,spore,,,
287,7/7/17,139 2943,FW,5/3/17,UR,5/1/17,,WE,5,2,,M,T,10-4,nan,nan,0,analog,,,,37.0,49,86,vegetative,spore,,,
289,7/12/17,142 3227,FW,5/3/17,UR,5/1/17,,WE,5,3,,M,T,10-2,1,26,27,analog,HP,CK,,11.0,22,33,vegetative,spore,,,
291,5/12/17,123 1758 ,,5/3/17,UR,5/1/17,,WE,5,3,,M,T,10-3,0,31,31,analog,AZD,"KL, KMM, HB",,11.0,22,33,vegetative,spore,,,
293,7/7/17,139 2944,FW,5/3/17,UR,5/1/17,,WE,5,3,,M,T,10-4,nan,nan,0,analog,,,,11.0,22,33,vegetative,spore,,,
295,7/12/17,142 3228,FW,5/3/17,UR,5/1/17,,WE,5,4,,M,T,10-2,0,1,1,analog,HP,CK,,6.0,11,17,vegetative,spore,,,
297,5/12/17,123 1759,,5/3/17,UR,5/1/17,,WE,5,4,,M,T,10-3,0,21,21,analog,AZD,"KMM, HB",,6.0,11,17,vegetative,spore,,,cont
299,7/7/17,139 2945,FW,5/3/17,UR,5/1/17,,WE,5,4,,M,T,10-4,1,4,5,analog,ty,fw,,6.0,11,17,vegetative,spore,,,cont
301,7/12/17,142 3229,FW,5/3/17,UR,5/1/17,,WE,5,5,,M,T,10-2,4,84,88,analog,HP,CK,,16.0,21,37,vegetative,spore,,,
303,5/12/17,123 1760 ,,5/3/17,UR,5/1/17,,WE,5,5,,M,T,10-3,0,37,37,analog,AZD,"KMM, HB",,16.0,21,37,vegetative,spore,,,cont
305,7/7/17,139 2946,FW,5/3/17,UR,5/1/17,,WE,5,5,,M,T,10-4,0,1,1,analog,ty,fw,,16.0,21,37,vegetative,spore,,,cont
307,7/12/17,142 3230,FW,5/3/17,UR,5/1/17,,WE,5,6,,M,T,10-2,0,8,8,analog,HP,CK,,11.0,19,30,vegetative,spore,,,
309,5/12/17,123 1763,,5/3/17,UR,5/1/17,,WE,5,6,,M,T,10-3,0,10,10,analog,AZD,"KMM, HB",,11.0,19,30,vegetative,spore,,,cont
311,7/7/17,139 2947,FW,5/3/17,UR,5/1/17,,WE,5,6,,M,T,10-4,0,5,5,analog,ty,fw,,11.0,19,30,vegetative,spore,,,cont
313,7/12/17,142 3231,FW,5/3/17,UR,5/1/17,,WE,5,7,,M,T,10-2,0,91,91,analog,HP,CK,,11.0,25,36,vegetative,spore,,,
315,5/12/17,123 1764,,5/3/17,UR,5/1/17,,WE,5,7,,M,T,10-3,1,58,59,analog,AZD,"KMM, HB",,11.0,25,36,vegetative,spore,,,cont
317,7/7/17,139 2948,FW,5/3/17,UR,5/1/17,,WE,5,7,,M,T,10-4,0,8,8,analog,ty,fw,,11.0,25,36,vegetative,spore,,,
319,7/12/17,142 3232,FW,5/3/17,UR,5/1/17,,WE,5,8,,M,T,10-2,1,68,69,analog,HP,CK,,6.0,11,17,vegetative,spore,,,cont
321,5/12/17,123 1766,,5/3/17,UR,5/1/17,,WE,5,8,,M,T,10-3,0,13,13,analog,AZD,"KMM, HB",,6.0,11,17,vegetative,spore,,,cont
323,7/7/17,139 2949,FW,5/3/17,UR,5/1/17,,WE,5,8,,M,T,10-4,1,2,3,analog,ty,fw,,6.0,11,17,vegetative,spore,,,cont
325,7/12/17,142 3233,FW,5/3/17,UR,5/1/17,,WE,5,9,,M,T,10-2,3,117,120,analog,HP,CK,,10.0,17,27,vegetative,spore,,,cont
327,5/12/17,123 1767,,5/3/17,UR,5/1/17,,WE,5,9,,M,T,10-3,3,16,19,analog,PC or DC?,"KMM, HB",,10.0,17,27,vegetative,spore,,,cont
329,7/7/17,139 2950,FW,5/3/17,UR,5/1/17,,WE,5,9,,M,T,10-4,NC,NC,#VALUE!,analog,ty,fw,,10.0,17,27,vegetative,spore,,,
331,7/7/17,139 2951,FW,5/3/17,UR,5/1/17,,WE,5,10,,M,T,10-2,9,103,112,analog,BH,FW,FW,12.0,17,29,vegetative,spore,,,cont
