, Photo Date,Photo ID ,Photographed By,Date Plated,Plated By,"Date of Trial
(Monday)",Set ID,Strain,Week Number,Replicate Number,# flies,Sex,"
Plate Type (Treatment (T), Control (C), Grow out Treatment (GoT), Baseline (B))","Dilution         (10-2, 10-3, 10-4, 10-5)",Green Count,Red Count,Total CFU on Plate,count type (digital or analog),Counted By,Recorded By (Notebook),Recorded By (Computer),"total consumption (mm, 24 hrs)","total consumption (mm, 48 hrs)",Total Consumption,red means (spore or vegetative),green means  (spore or vegetative),green survival,red survival,Notes,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39
773,4/24,115 1055,,4/20/17,,4/17/17,,WE,3,23,,M,GOT ,10-5,0,0,0,analog,EF,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
775,4/24,115 1098,,4/20/17,,4/17/17,,WE,3,24,,M,GOT ,10-3,0,0,0,,,KMM,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
777,4/24,115 1083,,4/20/17,,4/17/17,,WE,3,24,,M,GOT ,10-4,10,4,14,analog,EF,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
779,4/24,115 1056,,4/20/17,,4/17/17,,WE,3,24,,M,GOT ,10-5,1,0,1,analog,,KMM,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
781,4/24,115 1099,,4/20/17,,4/17/17,,WE,3,25,,M,GOT ,10-3,665,229,894,analog,DC,CK,,,,,spore,vegetative,,,,,,,,,,,,,,
783,4/24,115 1084 ,,4/20/17,,4/17/17,,WE,3,25,,M,GOT ,10-4,310,179,489,analog,EF,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
785,4/24,115 1058,,4/20/17,,4/17/17,,WE,3,25,,M,GOT ,10-5,43,33,76,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
787,4/24,115 1100,,4/20/17,,4/17/17,,WE,3,26,,M,GOT ,10-3,0,0,0,analog,,KMM,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
789,4/24,115 1085,,4/20/17,,4/17/17,,WE,3,26,,M,GOT ,10-4,3,2,5,analog,EF,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
791,4/24,115 1059,,4/20/17,,4/17/17,,WE,3,26,,M,GOT ,10-5,1,4,5,analog,,KMM,,,,,spore,vegetative,,,,,,,,,,,,,,
793,4/24,115 1101,,4/20/17,,4/17/17,,WE,3,27,,M,GOT ,10-3,0,0,0,analog,,KMM,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
795,4/24,115 1086,,4/20/17,,4/17/17,,WE,3,27,,M,GOT ,10-4,NC,NC,#VALUE!,analog,EF,KMM,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
797,4/24,115 1060,,4/20/17,,4/17/17,,WE,3,27,,M,GOT ,10-5,NC,NC,#VALUE!,analog,,KMM,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
799,4/24,115 1102,,4/20/17,,4/17/17,,WE,3,28,,M,GOT ,10-3,0,0,0,analog,,KMM,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
801,4/24/17,115 1090,,4/20/17,,4/17/17,,WE,3,28,,M,GOT ,10-4,0,0,0,analog,EF ,KMM,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
803,6/1/17,132 2606,,4/20/17,CL,4/17/17,,WE,3,28,,M,GOT ,10-5,0,0,0,analog,,AZD,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
805,4/24/17,115 1103,,4/20/17,,4/17/17,,WE,3,29,,M,GOT ,10-3,63,90,153,analog,DC,CK,,,,,spore,vegetative,,,,,,,,,,,,,,
807,4/24/17,115 1091,,4/20/17,,4/17/17,,WE,3,29,,M,GOT ,10-4,4,0,4,analog,Ef,KMM,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
809,4/24/17,115 1072,,4/20/17,,4/17/17,,WE,3,29,,M,GOT ,10-5,0,0,0,analog,,KMM,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
811,4/24/17,115 1104,,4/20/17,,4/17/17,,WE,3,30,,M,GOT ,10-3,0,0,0,analog,,KMM,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
813,4/24/17,115 1092 ,,4/20/17,,4/17/17,,WE,3,30,,M,GOT ,10-4,0,0,0,analog,EF,KMM,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
815,6/1/17,132 2607,,4/20/17,CL,4/17/17,,WE,3,30,,M,GOT ,10-5,0,0,0,analog,,AZD,,,,contaminated,spore,vegetative,,,,,,,,,,,,,,
